# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 3.13324 -4270.95
400000 3.24178 -4270.94
600000 1.78997 -4270.95
800000 1.49509 -4270.94
1000000 1.69081 -4270.94
1200000 -42.8751 -4270.99
1400000 -43.892 -4270.99
1600000 -41.8945 -4270.98
1800000 -43.4798 -4270.98
2000000 -42.0287 -4270.98
2200000 -89.8015 -4271.13
2400000 -89.7672 -4271.13
2600000 -90.5969 -4271.12
2800000 -89.6735 -4271.11
3000000 -87.2402 -4271.12
3200000 -144.087 -4271.37
3400000 -144.446 -4271.35
3600000 -147.251 -4271.36
3800000 -146.64 -4271.37
4000000 -145.028 -4271.36
4200000 -217.455 -4271.7
4400000 -217.21 -4271.69
4600000 -220.391 -4271.69
4800000 -221.54 -4271.7
5000000 -218.005 -4271.7
5200000 -309.035 -4272.08
5400000 -306.3 -4272.08
5600000 -307.257 -4272.08
5800000 -304.489 -4272.08
6000000 -305.575 -4272.08
6200000 -408.536 -4272.53
6400000 -411.618 -4272.52
6600000 -416.014 -4272.49
6800000 -408.835 -4272.52
7000000 -411.848 -4272.53
7200000 -524.316 -4273
7400000 -527.038 -4273.02
7600000 -527.771 -4273
7800000 -528.341 -4273.01
8000000 -528.306 -4272.99
8200000 -642.496 -4273.57
8400000 -644.691 -4273.56
8600000 -655.277 -4273.55
8800000 -649.04 -4273.57
9000000 -648.339 -4273.55
9200000 -771.955 -4274.21
9400000 -768.79 -4274.19
9600000 -784.708 -4274.17
9800000 -776.297 -4274.2
10000000 -774.136 -4274.19
10200000 -890.265 -4274.93
10400000 -893.342 -4274.93
10600000 -890.577 -4274.93
10800000 -897.221 -4274.92
11000000 -891.031 -4274.95
