# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 1.04889 -2514.5
400000 -0.706264 -2514.46
600000 2.68162 -2514.46
800000 1.59267 -2514.46
1000000 -0.791633 -2514.46
1200000 -47.4477 -2514.47
1400000 -47.1092 -2514.49
1600000 -49.4441 -2514.46
1800000 -50.6217 -2514.46
2000000 -47.2206 -2514.41
2200000 -97.2627 -2514.53
2400000 -98.0462 -2514.55
2600000 -99.4061 -2514.58
2800000 -98.3151 -2514.54
3000000 -99.754 -2514.53
3200000 -157.404 -2514.7
3400000 -160.345 -2514.75
3600000 -158.039 -2514.73
3800000 -155.232 -2514.79
4000000 -157.093 -2514.74
4200000 -228.288 -2514.95
4400000 -231.295 -2514.96
4600000 -229.585 -2514.94
4800000 -230.838 -2514.94
5000000 -230.768 -2514.94
5200000 -316.684 -2515.25
5400000 -319.041 -2515.22
5600000 -318.113 -2515.19
5800000 -316.559 -2515.21
6000000 -311.489 -2515.23
6200000 -410.642 -2515.54
6400000 -411.301 -2515.51
6600000 -409.693 -2515.52
6800000 -410.282 -2515.52
7000000 -409.463 -2515.51
7200000 -518.716 -2515.84
7400000 -514.224 -2515.89
7600000 -515.568 -2515.89
7800000 -514.405 -2515.85
8000000 -515.743 -2515.83
8200000 -622.99 -2516.31
8400000 -627.617 -2516.18
8600000 -627.517 -2516.31
8800000 -635.433 -2516.22
9000000 -629.648 -2516.21
9200000 -742.213 -2516.8
9400000 -740.06 -2516.68
9600000 -736.592 -2516.76
9800000 -736.147 -2516.63
10000000 -737.201 -2516.72
10200000 -845.609 -2517.26
10400000 -848.953 -2517.13
10600000 -845.145 -2517.13
10800000 -844.078 -2517.22
11000000 -846.369 -2517.15
