# Time-averaged data for fix dU
# TimeStep c_1[1] c_1[2] c_2[1] c_2[2]
0 1.50075 0.0793216 -1.25654 8.34673
100 1.52302 0.0763932 -1.26395 8.45174
200 2.06387 0.0306487 -1.71639 18.1449
300 1.84395 0.0444319 -1.52441 13.1209
400 1.62367 0.0644534 -1.32714 9.40342
500 2.11775 0.0279834 -1.74644 19.0895
600 2.08296 0.0296767 -1.71663 18.1523
700 2.3744 0.0181419 -1.95672 27.2273
800 3.11305 0.00521163 -2.58672 78.8917
900 3.09272 0.00539368 -2.55494 74.7693
1000 3.20411 0.00446882 -2.6431 86.7714
1100 3.30655 0.00375893 -2.73633 101.567
1200 3.31404 0.00371171 -2.74807 103.6
1300 3.28553 0.00389478 -2.71868 98.5835
1400 3.18844 0.00458862 -2.64582 87.1715
1500 2.97464 0.00658381 -2.49072 67.0849
1600 2.98452 0.00647489 -2.49322 67.3692
1700 2.67798 0.0108652 -2.23373 43.4667
1800 2.35271 0.0188185 -1.94521 26.7033
1900 2.62025 0.0119778 -2.17859 39.6023
2000 2.59671 0.0124635 -2.15452 38.0249
2100 2.40995 0.0170846 -2.00476 29.5283
2200 2.17014 0.0256138 -1.80291 20.9994
2300 2.57042 0.0130293 -2.14187 37.2215
2400 2.60478 0.0122949 -2.16463 38.6795
2500 2.30925 0.0202516 -1.90912 25.1245
2600 2.29398 0.0207805 -1.89596 24.5725
2700 2.67214 0.0109731 -2.22412 42.767
2800 2.86856 0.00787548 -2.39443 57.0176
2900 2.54014 0.0137129 -2.1151 35.576
3000 2.27248 0.0215489 -1.87507 23.7205
3100 2.17734 0.0253046 -1.79735 20.8031
3200 2.1127 0.0282229 -1.74146 18.9296
3300 1.9089 0.0398167 -1.57027 14.1774
3400 1.79289 0.0484331 -1.47341 12.038
3500 1.83996 0.0447327 -1.50934 12.7911
3600 1.87089 0.0424558 -1.53918 13.4521
3700 1.91929 0.0391238 -1.58526 14.5407
3800 1.88912 0.0411693 -1.55262 13.761
3900 1.81092 0.046981 -1.48444 12.2645
4000 1.78951 0.0487105 -1.46932 11.9553
4100 1.75119 0.0519663 -1.43486 11.2795
4200 1.83452 0.0451452 -1.51025 12.8109
4300 1.82867 0.0455936 -1.5033 12.6613
4400 1.95797 0.0366504 -1.61253 15.226
4500 2.23759 0.0228565 -1.85179 22.8064
4600 2.51171 0.0143873 -2.07608 33.3073
4700 2.37212 0.0182116 -1.95074 26.9538
4800 2.5141 0.0143294 -2.07358 33.1673
4900 2.58989 0.012608 -2.14213 37.2374
5000 2.46735 0.0155065 -2.03868 31.2688
5100 2.76098 0.00944431 -2.28867 47.6922
5200 2.74298 0.00973581 -2.27684 46.7493
5300 2.49355 0.0148353 -2.06337 32.6003
5400 3.09716 0.00535335 -2.57488 77.3297
5500 2.91792 0.00724561 -2.42452 59.9903
5600 3.00203 0.00628625 -2.49008 67.0123
5700 2.863 0.00794978 -2.36876 54.5992
5800 2.83187 0.00837887 -2.34039 52.0454
5900 2.93671 0.00701938 -2.43697 61.2643
6000 2.78054 0.00913746 -2.29601 48.2875
6100 2.45938 0.0157165 -2.02206 30.4037
6200 2.61817 0.01202 -2.16586 38.7598
6300 2.73825 0.00981382 -2.27396 46.5225
6400 2.62637 0.0118548 -2.17816 39.5738
6500 2.28763 0.0210044 -1.89437 24.5064
6600 2.40313 0.0172827 -1.98733 28.6718
6700 2.53745 0.0137754 -2.09321 34.2852
6800 2.31009 0.0202229 -1.89666 24.6013
6900 2.44773 0.0160287 -2.01256 29.9198
7000 2.70858 0.0103181 -2.24295 44.149
7100 2.70821 0.0103246 -2.24386 44.2171
7200 2.85666 0.00803533 -2.37679 55.3444
7300 2.84354 0.00821529 -2.3654 54.2898
7400 2.97304 0.00660161 -2.47571 65.4067
7500 3.19136 0.00456607 -2.66604 90.1988
7600 3.03909 0.00590489 -2.51251 69.6
7700 2.68288 0.0107758 -2.20629 41.4985
7800 2.85825 0.00801375 -2.35956 53.7576
7900 2.76354 0.00940357 -2.29163 47.9315
8000 2.56887 0.0130636 -2.11651 35.6608
8100 2.2142 0.0237776 -1.81862 21.5639
8200 2.15028 0.0264876 -1.77119 19.9041
8300 2.24327 0.0226383 -1.8588 23.0777
8400 2.39026 0.0176624 -1.98309 28.4673
8500 2.21992 0.0235487 -1.82749 21.8892
8600 2.15 0.0265001 -1.77036 19.8763
8700 2.47225 0.0153787 -2.04537 31.624
8800 2.39252 0.017595 -1.97137 27.9094
8900 2.2719 0.0215699 -1.86335 23.2558
9000 2.34217 0.0191563 -1.92277 25.7105
9100 2.63765 0.0116311 -2.18227 39.849
9200 2.84221 0.00823374 -2.35387 53.2431
9300 2.73029 0.00994672 -2.25711 45.217
9400 2.75998 0.00946034 -2.28941 47.7517
9500 2.40536 0.0172176 -1.98991 28.7971
9600 2.48927 0.0149429 -2.06301 32.5802
9700 2.47134 0.0154024 -2.04515 31.6122
9800 2.37959 0.0179834 -1.967 27.7043
9900 2.88643 0.00764136 -2.40603 58.1458
10000 2.63862 0.0116121 -2.2012 41.1436
10100 2.12051 0.0278531 -1.75143 19.2509
10200 1.94808 0.0372672 -1.59907 14.8837
10300 2.02135 0.0329304 -1.66471 16.6285
10400 2.3473 0.0189913 -1.95386 27.0962
10500 2.72034 0.0101153 -2.27009 46.2195
10600 2.63067 0.0117689 -2.19921 41.0053
10700 3.06414 0.00566037 -2.56741 76.361
10800 3.33833 0.00356254 -2.79177 111.534
10900 3.15371 0.00486583 -2.62305 83.8832
11000 2.7966 0.00889296 -2.32069 50.3419
11100 2.75619 0.00952109 -2.28924 47.7386
11200 2.58638 0.012683 -2.14305 37.2952
