       Inf   28.3194   25.1861   22.6612   20.6039   19.1123   17.4730   13.9458   12.5256   10.6471    8.5532    6.5281    5.2269    3.7401    2.4265    1.2627    0.1838   -0.8220   -1.7695   -2.6126   -3.4806   -4.3263   -5.2060   -6.1972   -7.3297   -8.4464   -9.6835  -10.8457  -11.8190  -12.7019  -13.6269  -14.5363  -15.4202  -16.2003  -16.8013  -17.1959  -17.3192  -16.2968       Inf       Inf       Inf       Inf       Inf
       Inf   30.6543   26.2386   23.3510   21.7270   19.8108   18.0648   14.2660   12.6188   10.5508    8.3598    6.3644    4.7671    3.5089    2.5073    1.5628    0.6663   -0.3014   -1.1208   -2.0099   -2.8518   -3.6664   -4.5233   -5.5257   -6.6740   -7.8450   -9.0879  -10.2671  -11.2589  -12.0575  -12.8093  -13.5425  -14.3294  -14.9026  -15.6378  -16.1998  -16.5714  -16.0458       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   26.6817   23.8557   22.2962   20.1883   18.1405   13.9229   12.2156   10.2453    8.1419    6.2684    4.7178    3.5528    2.6606    1.8650    1.0049    0.2283   -0.6282   -1.4862   -2.2867   -3.0667   -3.9124   -4.8828   -5.9126   -7.0171   -8.2491   -9.4338  -10.3694  -11.1515  -11.7735  -12.4019  -12.9729  -13.6645  -14.2100  -15.0378  -15.7731  -14.4089       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   26.9642   24.6005   22.6070   19.7231   17.3883   13.1148   11.4695    9.6812    7.8283    6.1010    4.6510    3.5250    2.6721    1.9122    1.2610    0.4887   -0.3013   -1.0898   -1.9108   -2.7188   -3.5450   -4.4392   -5.3690   -6.3017   -7.3646   -8.4751   -9.3722  -10.2010  -10.7953  -11.2989  -11.7574  -12.2476  -12.7389  -13.2180  -13.2160  -12.4189       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   29.3474   25.5043   22.0263   18.9257   16.4399   12.2563   10.6651    9.0252    7.3873    5.8346    4.4773    3.3749    2.5218    1.7819    1.2271    0.5579   -0.1245   -0.8283   -1.6045   -2.4329   -3.3167   -4.1883   -5.0516   -5.9063   -6.7598   -7.6549   -8.4701   -9.2284   -9.8955  -10.6955  -11.1256  -11.4770  -11.6641  -12.4426  -14.1385  -15.0470  -15.0176       Inf       Inf       Inf       Inf
       Inf       Inf   28.7974   24.7584   21.1567   18.0633   15.5782   11.5117    9.9850    8.4267    6.9133    5.5120    4.2640    3.2194    2.3830    1.7579    1.1713    0.5750   -0.0467   -0.6877   -1.4367   -2.2603   -3.1626   -4.0645   -4.9290   -5.7427   -6.5111   -7.2805   -8.0569   -8.8278   -9.5705  -10.6603  -11.2376  -11.9574  -12.1464  -13.0395  -14.0122  -14.5100  -15.6662       Inf       Inf       Inf       Inf
       Inf       Inf   28.3259   23.9666   20.5705   17.5119   14.9640   10.9692    9.5061    8.0176    6.5998    5.2419    4.1115    3.1367    2.3810    1.7356    1.1574    0.5588   -0.0250   -0.6125   -1.2845   -2.1073   -3.0132   -3.9245   -4.7698   -5.5612   -6.3034   -7.0325   -7.8518   -8.6264   -9.4080  -10.2095  -10.8559  -11.9466  -12.3883  -13.1467  -13.4094  -13.8415       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   27.1654   23.5901   20.0267   17.0700   14.5759   10.6732    9.2820    7.8541    6.5033    5.2405    4.1749    3.2503    2.5114    1.8613    1.2634    0.6784    0.1139   -0.4402   -1.0786   -1.8612   -2.7337   -3.6149   -4.4276   -5.1899   -5.9149   -6.6276   -7.3352   -8.1079   -9.0714   -9.8545  -10.4994  -11.9240  -12.2527  -12.9902  -13.2510  -13.9100       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   28.0649   23.5909   19.9665   17.0249   14.5991   10.6949    9.3658    7.9891    6.6960    5.5157    4.4778    3.6008    2.8686    2.2062    1.5950    1.0104    0.4505   -0.0892   -0.7086   -1.4696   -2.2998   -3.1270   -3.8821   -4.5699   -5.2637   -5.8873   -6.5654   -7.3287   -8.4061   -9.1574   -9.7157  -10.1817  -12.0237  -12.7550  -13.2188  -13.8470       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   26.4388   23.3879   20.0762   17.2800   14.9561   11.0915    9.7846    8.4422    7.1991    6.0682    5.0654    4.2018    3.4660    2.8068    2.1864    1.5832    0.9883    0.4017   -0.2673   -1.0253   -1.8029   -2.5301   -3.1923   -3.8169   -4.4165   -4.9333   -5.4696   -6.1580   -6.8440   -7.4633   -8.4843   -8.9116  -11.3752  -12.1371  -12.7798  -13.8770  -12.6689       Inf       Inf       Inf       Inf
       Inf       Inf   26.9752   23.9348   20.5804   17.9138   15.6313   11.7926   10.4873    9.1523    7.9286    6.8167    5.8478    5.0168    4.2870    3.5960    2.9264    2.2631    1.5991    0.9067    0.1688   -0.5678   -1.2803   -1.9570   -2.5533   -3.1114   -3.6697   -4.0720   -4.3995   -4.7615   -5.1848   -5.4969   -5.9186   -6.6921   -8.0257   -9.1715  -11.8544  -10.6689       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   27.4172   24.4127   21.6191   18.9538   16.5948   12.7694   11.4356   10.0713    8.8443    7.7605    6.8271    6.0114    5.2430    4.4753    3.7026    2.9453    2.1981    1.4200    0.6507   -0.0701   -0.7488   -1.3568   -1.9461   -2.4830   -3.0014   -3.3852   -3.6527   -3.9082   -4.1702   -4.2878   -4.3898   -4.1709   -4.4475       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   30.0484   25.9647   23.0715   20.2569   17.8648   13.9624   12.5766   11.1586    9.9117    8.8778    8.0076    7.2171    6.3679    5.4687    4.5582    3.6827    2.8362    1.9952    1.2250    0.5467   -0.0867   -0.6441   -1.2471   -1.7627   -2.2088   -2.6076   -2.9077   -3.2062   -3.4761   -3.7306   -4.1907   -4.3270   -3.8210       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf   28.4884   24.4258   22.0092   19.3908   15.3328   13.8300   12.3217   11.0456   10.0608    9.2844    8.5733    7.6832    6.6201    5.5589    4.5793    3.6188    2.7515    1.9692    1.3183    0.6721    0.2294   -0.2283   -0.6811   -1.1161   -1.5026   -1.8660   -2.2504   -2.7089   -3.1520   -3.7649   -4.2213   -3.4917       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf   22.7775   26.3088   23.9672   21.0401   16.8329   15.1581   13.5064   12.1850   11.2410   10.6081   10.0409    9.1709    8.0047    6.8052    5.7373    4.7409    3.6193    2.9431    2.3294    1.8921    1.5022    1.1662    0.7776    0.4014    0.0587   -0.4101   -0.9305   -1.4597   -2.0154   -2.9209   -3.5574   -1.8470       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf       Inf   27.9040   25.4413   23.1907   18.4023   16.4575   14.6934   13.3635   12.4886   11.9880   11.6609   10.8739    9.5461    8.3356    7.1720    5.8419    5.0482    4.4262    3.9124    3.4979    3.1599    2.8993    2.6019    2.2633    1.8797    1.2856    0.7509    0.1519   -0.3860   -1.2712   -0.4416    0.2101       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf       Inf   20.5261   24.3769   24.5304   19.8932   17.7424   15.4904   14.6673   13.2682    9.8839   12.5888   12.1620   11.0240    9.8650    8.1666    7.5056    6.9346    6.3708    5.9806    5.5770    5.2498    4.9210    4.6687    4.2783    4.2178    3.7902    3.5079    3.0636       Inf    1.8142    1.5170   -0.1330       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf       Inf       Inf   25.9513   22.5732   17.2398   15.1694   13.1012   11.3624    9.9808    8.7671   11.0783   10.7591   11.7565   10.7506   10.1109    9.7711    9.3311    8.8717    8.5296    8.2917    8.4234    7.9993    7.9330    7.3815    7.3157    8.5170       Inf    6.8101       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf       Inf       Inf       Inf   24.7621   18.3657   16.7762   14.8739   13.1346   11.5697   10.5054   11.0734   13.6154   12.1235   13.5183   10.7705   12.3732   12.5590   10.6975   12.1140   13.4670   13.6101       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf       Inf       Inf       Inf       Inf   20.7418   19.0095   17.3934   16.1775   13.7595   13.6013       Inf       Inf   14.1615       Inf       Inf   14.3115       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
