# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 2.26286 -4691.49
400000 -1.23059 -4691.42
600000 2.1942 -4691.44
800000 2.42647 -4691.42
1000000 2.00542 -4691.37
1200000 -67.525 -4691.4
1400000 -66.9365 -4691.41
1600000 -68.5464 -4691.38
1800000 -68.2079 -4691.35
2000000 -66.5604 -4691.37
2200000 -137.58 -4691.54
2400000 -138.94 -4691.5
2600000 -136.214 -4691.49
2800000 -137.742 -4691.42
3000000 -135.664 -4691.38
3200000 -214.399 -4691.73
3400000 -217.352 -4691.77
3600000 -216.039 -4691.79
3800000 -216.062 -4691.74
4000000 -216.915 -4691.73
4200000 -311.688 -4692.14
4400000 -312.941 -4692.2
4600000 -315.661 -4692.13
4800000 -316.878 -4692.14
5000000 -312.981 -4692.13
5200000 -435.886 -4692.59
5400000 -429.812 -4692.63
5600000 -435.558 -4692.62
5800000 -435.086 -4692.61
6000000 -431.957 -4692.64
6200000 -568.639 -4693.08
6400000 -565.683 -4693.1
6600000 -571.403 -4693.08
6800000 -572.123 -4693.07
7000000 -570.387 -4693.1
7200000 -717.685 -4693.68
7400000 -720.897 -4693.63
7600000 -713.172 -4693.67
7800000 -713.485 -4693.65
8000000 -715.293 -4693.64
8200000 -867.864 -4694.29
8400000 -865.133 -4694.29
8600000 -862.278 -4694.31
8800000 -865.081 -4694.29
9000000 -865.313 -4694.3
9200000 -1018.01 -4695.05
9400000 -1010.85 -4695.05
9600000 -1015.65 -4695.03
9800000 -1016.53 -4695.02
10000000 -1013.93 -4695.04
10200000 -1161.99 -4695.89
10400000 -1154.91 -4695.9
10600000 -1157.14 -4695.91
10800000 -1156.82 -4695.91
11000000 -1154.95 -4695.89
