# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 0.456486 -1570.84
400000 -0.201471 -1568.82
600000 0.608262 -1567.24
800000 -0.451122 -1567.01
1000000 -0.974969 -1566.81
1200000 -17.776 -1567.41
1400000 -17.9085 -1566.95
1600000 -17.1531 -1566.58
1800000 -15.6607 -1566.91
2000000 -18.2657 -1566.83
2200000 -35.5821 -1566.37
2400000 -36.584 -1567.09
2600000 -35.923 -1567.95
2800000 -36.702 -1567.9
3000000 -36.0479 -1567.16
3200000 -58.965 -1567.72
3400000 -60.0648 -1567.72
3600000 -60.1571 -1567.86
3800000 -60.1513 -1568.11
4000000 -59.7742 -1568.13
4200000 -90.3682 -1568.44
4400000 -89.8028 -1568.7
4600000 -91.4194 -1569
4800000 -90.8221 -1569.08
5000000 -91.5718 -1569.19
5200000 -126.967 -1569.81
5400000 -128.784 -1570.06
5600000 -129.397 -1569.86
5800000 -129.082 -1570.14
6000000 -128.916 -1569.89
6200000 -169.68 -1570.34
6400000 -170.966 -1570.4
6600000 -172.668 -1570.39
6800000 -173.044 -1570.43
7000000 -171.866 -1570.38
7200000 -218.585 -1570.71
7400000 -219.905 -1570.78
7600000 -219.068 -1570.78
7800000 -218.933 -1570.76
8000000 -218.339 -1570.81
8200000 -268.542 -1571.06
8400000 -267.668 -1571.06
8600000 -268.812 -1571.09
8800000 -267.033 -1571.08
9000000 -267.714 -1571.07
9200000 -319.874 -1571.39
9400000 -319.509 -1571.39
9600000 -318.618 -1571.4
9800000 -320.375 -1571.39
10000000 -319.17 -1571.39
10200000 -371.293 -1571.74
10400000 -370.862 -1571.72
10600000 -371.068 -1571.73
10800000 -372.522 -1571.71
11000000 -371.096 -1571.73
