# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 1.94242 -5544.25
400000 -0.0603196 -5544.25
600000 2.81177 -5544.31
800000 0.880332 -5544.28
1000000 2.9919 -5544.23
1200000 -29.7377 -5544.11
1400000 -29.4454 -5544.13
1600000 -30.0346 -5544.05
1800000 -31.2762 -5544.05
2000000 -29.314 -5543.99
2200000 -59.78 -5544.06
2400000 -61.3405 -5544.05
2600000 -61.6116 -5544.04
2800000 -63.5279 -5544.02
3000000 -60.6852 -5544.02
3200000 -103.566 -5544.25
3400000 -100.869 -5544.33
3600000 -102.672 -5544.26
3800000 -102.038 -5544.18
4000000 -102.989 -5544.14
4200000 -155.581 -5544.47
4400000 -156.123 -5544.49
4600000 -155.568 -5544.46
4800000 -154.277 -5544.44
5000000 -156.64 -5544.44
5200000 -222.349 -5544.81
5400000 -224.922 -5544.85
5600000 -225.144 -5544.86
5800000 -225.34 -5544.9
6000000 -223.792 -5544.9
6200000 -307.604 -5545.37
6400000 -306.006 -5545.37
6600000 -311.569 -5545.35
6800000 -308.438 -5545.33
7000000 -308.656 -5545.34
7200000 -404.152 -5545.83
7400000 -406.628 -5545.81
7600000 -408.196 -5545.83
7800000 -406.471 -5545.82
8000000 -408.611 -5545.82
8200000 -517.373 -5546.37
8400000 -519.743 -5546.37
8600000 -516.164 -5546.38
8800000 -517.352 -5546.37
9000000 -515.128 -5546.39
9200000 -631.571 -5546.99
9400000 -633.783 -5546.99
9600000 -634.313 -5546.98
9800000 -630.936 -5546.99
10000000 -630.682 -5546.99
10200000 -747.326 -5547.69
10400000 -745.877 -5547.68
10600000 -746.775 -5547.67
10800000 -745.725 -5547.69
11000000 -744.581 -5547.68
