       Inf   25.3818   23.9387   22.8062   18.7558   15.7016   13.1814   11.1301    9.4367    6.4853    5.8034    4.8944    4.0334    3.2147    2.4257    1.6067    0.8142    0.2079   -0.4981   -1.2810   -2.1101   -2.9897   -3.8188   -4.5327   -5.1440   -5.7478   -6.2985   -6.7944   -7.1316   -7.9703   -8.5131   -9.5479   -9.9016  -11.2505  -10.9849       Inf
       Inf       Inf       Inf   21.8839   17.9943   15.1617   12.7791   10.7987    9.0815    6.1073    5.2392    4.2022    3.2343    2.7293    2.0308    1.1796    0.6335    0.0989   -0.4619   -1.1247   -1.9165   -2.6795   -3.4359   -4.0896   -4.6802   -5.2548   -5.7542   -6.2443   -6.6252   -6.9961   -8.4278   -8.4884   -9.4863   -9.6781       Inf       Inf
       Inf   26.0396   22.8646   19.9126   17.0197   14.4536   12.2100   10.2696    8.5891    5.6446    4.7796    3.7574    2.8454    2.1134    1.7075    1.0767    0.6577    0.2496   -0.2230   -0.7904   -1.4571   -2.1605   -2.8103   -3.4569   -4.0661   -4.7020   -5.2342   -5.6720   -6.0674   -6.4652   -7.0093   -8.1850   -8.1657       Inf   -9.1932       Inf
       Inf   22.9992   20.3597   17.6816   15.5757   13.1648   11.1222    9.3562    7.8297    5.1400    4.3627    3.4125    2.5890    1.9366    1.4312    1.0302    0.6730    0.3195   -0.0708   -0.5298   -1.0569   -1.6088   -2.1250   -2.6521   -3.2231   -3.8026   -4.3764   -4.8195   -5.3171   -5.8536   -6.1716   -7.1714   -7.5997       Inf       Inf       Inf
       Inf   23.4424   19.1018   16.1635   14.0973   11.8358    9.9246    8.3200    6.9774    4.5803    4.0018    3.1785    2.4748    1.9060    1.4504    1.0656    0.6783    0.2774   -0.1108   -0.5039   -0.9462   -1.4177   -1.8861   -2.2844   -2.7460   -3.2024   -3.6686   -4.2528   -4.7882   -5.6307   -6.0018   -6.4007   -7.6654   -7.6964       Inf       Inf
       Inf   21.4883   17.9887   15.0906   12.8183   10.6862    8.9036    7.4333    6.2295    4.0612    3.6882    3.0235    2.4339    1.9472    1.5121    1.1004    0.6676    0.2485   -0.1281   -0.4989   -0.9091   -1.3320   -1.7690   -2.1969   -2.5853   -3.0334   -3.4577   -4.0153   -4.7581   -5.6311   -6.2006   -6.7663   -8.0490       Inf       Inf       Inf
       Inf   20.4778   16.9216   14.1964   11.8616    9.8044    8.1252    6.7678    5.6543    3.6293    3.4067    2.8635    2.3867    1.9512    1.5454    1.1528    0.7475    0.3821    0.0730   -0.2264   -0.5676   -0.9601   -1.3866   -1.8116   -2.2363   -2.6445   -3.2375   -3.9264   -4.6585   -5.5850   -6.2017   -7.3585   -8.2573   -6.4964       Inf       Inf
   22.9158   19.4328   16.3246   13.5477   11.1652    9.1913    7.6168    6.3193    5.2688    3.3347    3.1871    2.7216    2.3052    1.9392    1.6170    1.3171    1.0518    0.8244    0.6411    0.4546    0.1686   -0.2084   -0.6091   -1.0281   -1.4339   -1.9387   -2.5048   -3.2674   -3.9812   -5.0428   -6.2258   -6.5627   -7.3883   -7.9435       Inf       Inf
   23.3926   19.3844   15.9438   13.1795   10.8690    8.9460    7.3754    6.1163    5.1112    3.2366    3.1472    2.7097    2.3394    2.0526    1.8475    1.7200    1.6714    1.6766    1.7258    1.6992    1.4862    1.1461    0.7720    0.3345   -0.1357   -0.4408   -1.1303   -1.6250   -2.4786   -3.4848   -4.7988   -5.4864   -5.4559       Inf       Inf       Inf
   23.3483   19.3055   15.9402   13.1478   10.8867    9.0147    7.4941    6.2676    5.2964    3.4968    3.4516    3.0408    2.7161    2.5006    2.3955    2.4157    2.5683    2.8389    3.2288    3.7158    4.1613    4.3893    4.8033    5.4997    6.2614    4.9354       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf   20.4123   16.4825   13.7371   11.5023    9.7076    8.2331    7.0665    6.1550    4.4494    4.4409    4.0628    3.7794    3.6269    3.6299    3.8136    4.0716    4.5106    5.0870    5.8362    6.4260    6.6430    8.1644       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
