# Time-averaged data for fix dU
# TimeStep c_1[1] c_1[2] c_2[1] c_2[2]
13100 0.0547467 0.911696 0.270197 0.633643
13200 0.136748 0.793803 0.204433 0.708068
13300 0.193473 0.721294 0.158478 0.765203
13400 0.124423 0.810497 0.215146 0.695373
13500 0.173106 0.746532 0.172603 0.747167
13600 0.0563315 0.90926 0.258647 0.646123
13700 0.125088 0.809587 0.198163 0.715604
13800 0.164287 0.757733 0.167933 0.753082
13900 0.147841 0.779072 0.184856 0.731866
14000 0.104579 0.838117 0.219736 0.690004
14100 0.109553 0.831107 0.216381 0.693924
14200 0.137944 0.792202 0.196778 0.71728
14300 0.0656239 0.895103 0.254458 0.65071
14400 0.116692 0.821148 0.20914 0.702461
14500 0.140912 0.78824 0.190613 0.724786
14600 0.171362 0.748735 0.170378 0.749979
14700 0.100008 0.844612 0.232358 0.675453
14800 0.164845 0.75702 0.171451 0.748622
14900 0.155307 0.769311 0.178332 0.739974
15000 0.0621162 0.900421 0.256626 0.648332
15100 0.0871779 0.86311 0.24031 0.666443
15200 0.0691183 0.889837 0.257379 0.647508
15300 0.0767626 0.878424 0.248733 0.657031
15400 0.115063 0.823409 0.220585 0.689016
15500 0.149465 0.776938 0.189578 0.726053
15600 0.136519 0.79411 0.195942 0.718292
15700 0.105323 0.837064 0.22491 0.684002
15800 0.079443 0.874457 0.2447 0.661521
15900 0.143001 0.785466 0.194827 0.719647
16000 0.178637 0.739593 0.160222 0.762952
16100 0.0985378 0.846711 0.222953 0.686266
16200 0.0733168 0.883551 0.246418 0.659604
16300 0.15778 0.766105 0.181199 0.736399
16400 0.178939 0.739215 0.162765 0.759683
16500 0.210916 0.700357 0.13398 0.797522
16600 0.162454 0.760083 0.17672 0.741991
16700 0.154964 0.769756 0.183441 0.733617
16800 0.158139 0.765641 0.180883 0.736792
16900 0.164795 0.757083 0.173781 0.745682
17000 0.148676 0.777974 0.188543 0.727323
17100 0.171861 0.748104 0.173891 0.745544
17200 0.132995 0.79885 0.201313 0.711808
17300 0.130021 0.802872 0.200852 0.712362
17400 0.0679757 0.891556 0.250251 0.655349
17500 0.0383108 0.937355 0.270925 0.632865
17600 0.0486342 0.921156 0.268366 0.635606
17700 -0.00615216 1.01044 0.315002 0.587471
17800 -0.00121019 1.00205 0.303726 0.598764
17900 0.0191085 0.968247 0.282106 0.621028
18000 -0.0210105 1.03612 0.315164 0.587309
18100 -0.0718272 1.12895 0.357736 0.54657
18200 -0.027341 1.04725 0.3166 0.585887
18300 -0.0967536 1.17749 0.372955 0.532702
18400 -0.0631611 1.11255 0.344657 0.558776
18500 -0.047674 1.08383 0.328611 0.574123
18600 -0.0774347 1.13969 0.35278 0.551164
18700 -0.101715 1.18739 0.380314 0.526124
18800 -0.00417932 1.00708 0.297745 0.604842
18900 -0.063458 1.11311 0.343199 0.560153
19000 -0.059203 1.10514 0.338627 0.564495
19100 -0.0185713 1.03186 0.306666 0.595799
19200 -0.00314571 1.00533 0.295511 0.607128
19300 -0.0279203 1.04828 0.313816 0.588648
19400 0.0116654 0.980494 0.279214 0.624068
19500 -0.1283 1.24191 0.396711 0.511756
19600 -0.169953 1.33241 0.437562 0.477643
19700 -0.200501 1.40295 0.465385 0.455721
19800 -0.0898907 1.16392 0.376365 0.529644
19900 -0.0647795 1.1156 0.356374 0.547829
20000 -0.00548544 1.00931 0.310233 0.592221
20100 -0.0199958 1.03434 0.318602 0.58391
20200 -0.12938 1.24418 0.407128 0.502832
20300 -0.156032 1.30146 0.426482 0.486664
20400 -0.104986 1.19397 0.390153 0.517454
20500 -0.0279954 1.04841 0.322891 0.579696
20600 -0.0302988 1.0525 0.316747 0.585742
20700 -0.032317 1.05609 0.32224 0.580334
20800 0.0466501 0.924247 0.259023 0.645713
20900 0.137007 0.793456 0.186316 0.730064
21000 0.0908687 0.857747 0.224642 0.684312
21100 0.110119 0.830313 0.20902 0.702603
21200 0.0742771 0.882119 0.241422 0.665192
21300 0.0913326 0.857076 0.223894 0.685176
