# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 3.27508 -3074.95
400000 2.434 -3074.93
600000 4.33722 -3074.92
800000 2.07238 -3074.92
1000000 3.58683 -3074.89
1200000 -49.647 -3074.89
1400000 -50.7313 -3074.91
1600000 -50.9163 -3074.95
1800000 -50.1605 -3074.96
2000000 -50.6904 -3074.96
2200000 -103.181 -3075.07
2400000 -103.632 -3075.06
2600000 -103.946 -3075.04
2800000 -104.391 -3075.01
3000000 -103.015 -3075.01
3200000 -158.998 -3075.26
3400000 -166.351 -3075.25
3600000 -163.895 -3075.28
3800000 -162.381 -3075.29
4000000 -165.659 -3075.31
4200000 -234.62 -3075.62
4400000 -238.445 -3075.61
4600000 -235.633 -3075.66
4800000 -234.243 -3075.65
5000000 -238.772 -3075.63
5200000 -322.478 -3076.03
5400000 -324.18 -3076.04
5600000 -328.314 -3076.01
5800000 -323.21 -3076.04
6000000 -325.716 -3076.02
6200000 -430.851 -3076.44
6400000 -429.676 -3076.44
6600000 -433.71 -3076.43
6800000 -433.405 -3076.41
7000000 -432.185 -3076.41
7200000 -550.85 -3076.81
7400000 -549.702 -3076.82
7600000 -549.227 -3076.85
7800000 -545.397 -3076.84
8000000 -548.165 -3076.83
8200000 -675.033 -3077.26
8400000 -668.038 -3077.29
8600000 -670.281 -3077.28
8800000 -674.768 -3077.25
9000000 -669.818 -3077.27
9200000 -788.246 -3077.82
9400000 -788.864 -3077.82
9600000 -787.878 -3077.79
9800000 -789.526 -3077.81
10000000 -785.889 -3077.83
10200000 -891.66 -3078.51
10400000 -892.353 -3078.51
10600000 -894.766 -3078.48
10800000 -893.56 -3078.49
11000000 -890.06 -3078.49
