       Inf       Inf       Inf       Inf       Inf       Inf       Inf   23.0529   22.6974   21.2294   19.5065   17.5621   16.2873   15.0520   14.0884   13.2328   12.5292   11.8447   11.1373   10.4599    9.8928    9.4627    9.1940    9.0405    9.0669    9.0551    9.1190    9.0406    9.0109    8.9269    8.9590    8.8318    8.7333    8.5168    8.3364    8.2084    8.1282    8.0774    8.0509    8.1365    8.4056    8.5998    8.9873    9.5692    9.1002       Inf       Inf
       Inf       Inf       Inf       Inf       Inf       Inf       Inf   23.6015   23.3245   20.1998   18.6540   16.5815   15.2131   13.9654   12.9989   12.2113   11.5530   10.9110   10.2534    9.6520    9.1286    8.7256    8.4764    8.3572    8.3246    8.4075    8.4905    8.5457    8.5730    8.5077    8.5969    8.5766    8.4926    8.2951    8.1363    7.6868    7.5816    7.5173    7.4667    7.5387    7.7652    7.9960    8.2816    8.2292    8.8687    9.7981    8.2604
       Inf       Inf       Inf       Inf       Inf       Inf       Inf   23.6446   20.6456   18.9137   17.2536   15.4159   14.0996   12.9141   11.9758   11.2320   10.6433   10.0620    9.4936    8.9690    8.4785    8.1043    7.8997    7.7952    7.8107    7.9990    8.1198    8.1982    8.2644    8.2989    8.3715    8.3761    8.2717    8.0850    7.9044    7.8279    7.1976    7.1573    7.6845    7.6913    7.8657    7.7188    7.9587    7.8929    8.6887    7.0687       Inf
       Inf       Inf       Inf       Inf       Inf       Inf       Inf   18.0977   19.0409   17.3832   15.9753   14.3131   13.0591   11.9456   11.0418   10.3314    9.7881    9.3054    8.8672    8.3840    7.9284    7.5928    7.4165    7.3634    7.4357    7.6127    7.7786    7.8977    8.0234    8.0664    8.1932    8.2486    8.2008    8.0763    7.9235    7.8846    7.8599    7.8192    7.7796    7.7390    7.8196    7.3044    7.8184    8.1704    9.0373       Inf    8.2467
       Inf       Inf       Inf       Inf       Inf       Inf   18.0977   18.8888   17.3603   15.9964   14.5941   13.2798   12.0593   10.9830   10.1399    9.5060    9.0431    8.6292    8.2826    7.8559    7.4407    7.1344    6.9978    6.9943    7.0978    7.3384    7.4951    7.5780    7.5732    7.6576    7.7501    7.9136    8.0076    8.0512    8.0364    8.1565    8.1321    8.2081    8.0468    8.0093    8.1475    7.0938    7.7714    8.3618    9.1036       Inf       Inf
       Inf       Inf       Inf       Inf   19.1462   19.0907   17.8276   15.9683   14.5609   14.3355   13.1833   12.0472   10.9859   10.0482    9.2586    8.6912    8.2725    7.9517    7.6592    7.2808    6.8926    6.6222    6.4672    6.4959    6.6808    6.8352    6.8760    6.7806    6.6465    6.6316    6.7238    6.9184    7.1515    7.4090    7.7231    8.0183    8.3172    8.6286    8.5234    8.4339    8.5851    9.4480    8.6495       Inf       Inf    7.6967       Inf
       Inf       Inf       Inf       Inf       Inf   18.0299   16.7884   14.4223   13.1196   12.6611   11.7721   10.7974    9.8886    9.0497    8.3876    7.8544    7.4542    7.1678    6.8902    6.5659    6.2032    5.9124    5.7305    5.7390    5.8941    5.9562    5.8645    5.6643    5.4896    5.4448    5.5197    5.6909    5.9572    6.2551    6.6667    7.1026    7.4400    8.0427    8.3564    8.3624    8.9371   10.2428       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf       Inf       Inf   17.6227   15.0899   13.3038   11.9682   11.3467   10.4986    9.6061    8.8242    8.0957    7.4821    7.0135    6.6058    6.2777    5.9833    5.6845    5.3670    5.0562    4.8676    4.7898    4.8271    4.8837    4.7700    4.5796    4.4160    4.3802    4.4451    4.6148    4.8634    5.1737    5.5627    5.9884    6.4486    7.0089    7.3314    7.8725    8.4133    8.9416       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf       Inf   16.0547   15.9226   13.8055   12.1431   10.8622    9.9775    9.3834    8.5800    7.8868    7.2639    6.6964    6.2214    5.7734    5.3739    5.0511    4.7680    4.4725    4.1623    3.9800    3.8805    3.8778    3.8596    3.7912    3.6535    3.5937    3.5531    3.5363    3.7103    3.9494    4.2675    4.6379    5.0121    5.4802    5.9660    6.4049    6.9231    7.6106    8.5542   10.1891       Inf       Inf       Inf       Inf
       Inf       Inf       Inf   12.3264   11.7468   13.7383   12.3640   11.1283    9.9244    9.1397    8.5376    7.8174    7.1921    6.6033    6.0229    5.5014    5.0121    4.5607    4.2085    3.9082    3.6700    3.4060    3.2077    3.0954    3.0482    3.0620    3.0287    2.9881    2.9302    2.9228    2.9726    3.0681    3.3039    3.6199    3.9450    4.3353    4.7623    5.2750    5.8837    6.4608    6.7511    6.4515       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf   10.7278   10.6747   12.2681   10.9830    9.9442    9.0852    8.3447    7.7665    7.1826    6.6645    6.0658    5.5242    4.9521    4.4101    3.9229    3.5433    3.2301    2.9887    2.7383    2.5566    2.4416    2.3890    2.4062    2.4487    2.4735    2.4887    2.5068    2.5908    2.7490    2.9668    3.2589    3.5268    3.8794    4.3174    4.8385    5.4168    5.7120    6.4963    6.1946       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   13.3859   11.0455   11.0252   11.1892    9.8629    8.8081    8.0591    7.4686    7.0024    6.5818    6.1465    5.6748    5.0899    4.4983    3.9126    3.4102    3.0296    2.7297    2.4905    2.2474    2.0801    1.9585    1.8902    1.9323    2.0048    2.1061    2.2028    2.3033    2.3947    2.5723    2.8191    3.0887    3.4248    3.7494    4.1393    4.5945    4.9568    5.5738    6.4245    6.5295       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf   11.0133    9.6161    9.6843    8.5125    7.5864    6.9682    6.4841    6.1315    5.8152    5.5271    5.1364    4.6441    4.1001    3.5426    3.0630    2.6558    2.3467    2.0959    1.8812    1.6925    1.5397    1.4551    1.4984    1.5803    1.7591    1.9470    2.1183    2.2530    2.4851    2.7649    3.0654    3.4172    3.7228    4.1645    4.4478    4.7971    5.5750    5.9385    6.2163       Inf       Inf       Inf       Inf       Inf
       Inf       Inf       Inf   10.9858    8.9848    8.3368    7.3456    6.5769    5.9738    5.5735    5.2921    4.9765    4.7224    4.4180    4.0420    3.5957    3.1018    2.6584    2.2652    1.9249    1.6571    1.4538    1.2743    1.1257    1.0658    1.0617    1.1616    1.3597    1.6033    1.8455    2.0278    2.2880    2.5906    2.9345    3.3393    3.6800    4.0556    4.3582    4.6453    5.1097    5.6949    5.9943    4.9391       Inf       Inf       Inf       Inf
       Inf       Inf       Inf    9.8790    8.1851    6.9941    6.4748    5.7539    5.2183    4.8186    4.5357    4.2531    3.9809    3.6553    3.2722    2.8575    2.4212    2.0288    1.6887    1.3541    1.1167    0.9704    0.8469    0.7205    0.6547    0.6626    0.7714    0.9560    1.1938    1.4487    1.6625    1.9226    2.1752    2.5303    2.8920    3.2515    3.5450    3.8961    4.2024    4.7076    5.4008    6.0488    3.9359       Inf       Inf       Inf       Inf
       Inf       Inf   11.4204    8.9589    7.4957    6.3066    5.5391    5.1401    4.5993    4.2228    3.9162    3.6141    3.2927    2.9102    2.4573    2.0192    1.6034    1.2734    0.9982    0.7681    0.5846    0.4928    0.4348    0.3717    0.3591    0.3439    0.4646    0.6628    0.8709    1.0786    1.3141    1.5114    1.7517    2.0296    2.3234    2.5848    2.8421    3.1308    3.4804    4.1861    4.7509    5.0193       Inf    4.6345       Inf       Inf       Inf
       Inf       Inf    9.5786    8.5158    7.0161    6.0495    5.2419    4.5829    3.9757    3.5396    3.2219    3.0321    2.6586    2.2472    1.7642    1.2786    0.8960    0.6386    0.4614    0.3095    0.2061    0.1753    0.1736    0.1765    0.2187    0.2783    0.3806    0.5329    0.6830    0.8439    1.0330    1.2006    1.3403    1.5426    1.7504    2.0434    2.2107    2.4278    2.8438    3.2191    3.8049    3.9497    3.0901    3.1386       Inf    1.7859       Inf
       Inf       Inf    9.8341    7.8039    6.6215    5.7863    4.9792    4.3408    3.6733    3.2076    2.8614    2.5276    2.1364    1.7247    1.2746    0.8567    0.5226    0.2913    0.1549    0.0387    0.0122    0.0324    0.1133    0.1735    0.2765    0.3516    0.4300    0.5199    0.6056    0.7007    0.8077    0.9162    1.0120    1.1173    1.2803    1.4614    1.6460    1.8004    2.0076    2.3308    2.5452    2.5477    1.4147    1.9380    2.5927    2.1359       Inf
       Inf       Inf    9.8718    7.6727    6.5999    5.6987    4.9888    4.2586    3.4714    2.9647    2.5827    2.2313    1.8625    1.4541    1.0511    0.6938    0.3934    0.1963    0.0570   -0.0339   -0.0429   -0.0109    0.0984    0.2282    0.3292    0.4044    0.4319    0.4440    0.4805    0.5310    0.5975    0.6764    0.7471    0.8066    0.9238    1.0812    1.2262    1.3301    1.4563    1.6560    1.5828    1.7578    0.8851    1.1519    1.4156    3.4845       Inf
