# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 4.6042 -6586.41
400000 3.44154 -6586.41
600000 4.54559 -6586.39
800000 6.77393 -6586.38
1000000 5.3932 -6586.38
1200000 -41.4657 -6586.44
1400000 -43.6904 -6586.43
1600000 -41.772 -6586.43
1800000 -43.2775 -6586.42
2000000 -42.2109 -6586.43
2200000 -91.4475 -6586.6
2400000 -91.3709 -6586.61
2600000 -90.2354 -6586.61
2800000 -91.2589 -6586.6
3000000 -92.5376 -6586.58
3200000 -152.179 -6586.89
3400000 -149.082 -6586.88
3600000 -148.88 -6586.91
3800000 -151.791 -6586.87
4000000 -153.315 -6586.88
4200000 -227.038 -6587.28
4400000 -231.502 -6587.28
4600000 -229.79 -6587.29
4800000 -227.633 -6587.31
5000000 -229.63 -6587.28
5200000 -328.332 -6587.75
5400000 -326.924 -6587.76
5600000 -330.345 -6587.74
5800000 -332.767 -6587.74
6000000 -327.285 -6587.76
6200000 -446.387 -6588.28
6400000 -446.938 -6588.27
6600000 -443.559 -6588.27
6800000 -447.699 -6588.26
7000000 -447.073 -6588.28
7200000 -576.109 -6588.86
7400000 -580.378 -6588.86
7600000 -577.058 -6588.85
7800000 -580.026 -6588.83
8000000 -584.361 -6588.85
8200000 -724.341 -6589.5
8400000 -712.595 -6589.54
8600000 -726.319 -6589.51
8800000 -723.612 -6589.53
9000000 -728.965 -6589.49
9200000 -863.894 -6590.29
9400000 -867.504 -6590.32
9600000 -872.582 -6590.28
9800000 -872.439 -6590.3
10000000 -867.674 -6590.3
10200000 -1011.63 -6591.17
10400000 -1003.81 -6591.19
10600000 -1008.97 -6591.17
10800000 -1010.11 -6591.19
11000000 -1011.04 -6591.16
