# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 2.31097 -7158.55
400000 3.08895 -7158.54
600000 3.68769 -7158.54
800000 3.96669 -7158.53
1000000 3.39875 -7158.53
1200000 -47.7928 -7158.58
1400000 -47.5807 -7158.59
1600000 -48.2933 -7158.58
1800000 -46.1636 -7158.58
2000000 -48.9274 -7158.58
2200000 -99.2261 -7158.77
2400000 -100.213 -7158.76
2600000 -97.7208 -7158.77
2800000 -99.5526 -7158.77
3000000 -100.265 -7158.77
3200000 -166.876 -7159.07
3400000 -165.638 -7159.06
3600000 -163.298 -7159.06
3800000 -163.391 -7159.06
4000000 -162.409 -7159.06
4200000 -244.196 -7159.45
4400000 -247.507 -7159.46
4600000 -244.959 -7159.47
4800000 -243.105 -7159.46
5000000 -241.963 -7159.45
5200000 -347.708 -7159.93
5400000 -351.603 -7159.94
5600000 -354.926 -7159.94
5800000 -346.556 -7159.95
6000000 -349.652 -7159.93
6200000 -474.206 -7160.49
6400000 -474.05 -7160.5
6600000 -477.462 -7160.49
6800000 -478.388 -7160.47
7000000 -474.196 -7160.49
7200000 -616.466 -7161.1
7400000 -616.558 -7161.1
7600000 -627.414 -7161.07
7800000 -619.192 -7161.1
8000000 -619.939 -7161.09
8200000 -775.44 -7161.77
8400000 -776.193 -7161.76
8600000 -774.137 -7161.77
8800000 -772.527 -7161.78
9000000 -780.802 -7161.75
9200000 -932.969 -7162.51
9400000 -934.469 -7162.5
9600000 -938.776 -7162.51
9800000 -933.414 -7162.51
10000000 -934.425 -7162.53
10200000 -1082.71 -7163.39
10400000 -1093.9 -7163.34
10600000 -1084.58 -7163.4
10800000 -1083.45 -7163.4
11000000 -1084.27 -7163.41
