       Inf       Inf       Inf       Inf   32.5927   29.3589   26.1113   23.9334   22.3144   21.0126   20.0038   19.1981   18.5841   18.0153   17.4340   16.9080   16.4906   16.1351   15.7627   15.4883   15.2414   15.1288   14.9637   14.6506   15.2831   15.2886   15.2909   15.2193   14.8400   14.3250   13.7282   13.4121   12.9417   12.5042   12.2256   12.2385   11.7257   14.5275       Inf       Inf
       Inf       Inf       Inf       Inf   30.5832   27.4683   24.6144   22.4346   20.8298   19.5464   18.5253   17.6850   17.0290   16.3115   15.7000   15.1675   14.7349   14.3805   14.0794   13.9000   13.6074   13.4738   13.6235   13.6301   13.5688   13.4151   13.2303   12.8494   12.4894   11.8895   11.3856   11.0832   10.6016   10.0127    9.7411    9.3096    9.7388   11.2727       Inf    8.6734
       Inf       Inf       Inf       Inf   28.2667   25.0085   22.8456   20.8725   19.3879   18.1668   17.1980   16.3377   15.5796   14.8270   14.1188   13.4593   13.0341   12.8625   12.5973   12.3321   12.1208   11.9939   11.8571   11.6651   11.4426   11.2731   10.9850   10.5724   10.1909    9.6756    9.2772    8.9407    8.4597    8.0776    7.4325    7.2941    7.4213    7.3021    7.3384       Inf
       Inf       Inf       Inf   28.0927   25.8236   23.5651   21.0894   19.3973   17.9621   16.7524   15.7161   14.8521   14.0748   13.3075   12.6653   12.1099   11.6305   11.3247   11.0511   10.7640   10.4595   10.2030    9.8602    9.5245    9.2366    8.9970    8.7152    8.3833    8.0412    7.6875    7.3327    7.0330    6.6765    6.5234    6.1218    5.7470    5.2085    5.4915    5.9249    7.4706
       Inf       Inf       Inf       Inf   23.9338   21.9072   19.8727   18.1164   16.3702   15.0892   14.0328   13.1471   12.3608   11.7686   11.1745   10.6362   10.2046    9.8440    9.4627    9.0608    8.6011    8.1827    7.7602    7.3801    7.1033    6.8305    6.5738    6.3312    6.0738    5.8032    5.4827    5.3082    5.1060    5.0014    4.8770    4.0357    4.2297    4.0899    5.4612       Inf
       Inf       Inf       Inf   26.0845   22.2176   20.1308   18.1929   16.4192   14.9678   13.6093   12.0698   11.1845   10.4860    9.9707    9.5682    9.2105    8.7590    8.2663    7.7076    7.1438    6.6679    6.1958    5.7728    5.3650    5.0611    4.8177    4.6123    4.4450    4.2830    4.1148    3.9249    3.7568    3.5685    3.7103    3.6524    3.0002    2.7602    3.5096    4.4275       Inf
       Inf       Inf       Inf   21.2975   19.6609   18.0214   16.0965   14.4865   12.9248   11.5648   10.3460    9.3735    8.4954    8.0429    7.8062    7.5352    7.1345    6.5441    5.8627    5.2581    4.7531    4.3353    3.9088    3.5491    3.2246    2.9783    2.8221    2.7267    2.6785    2.6309    2.5798    2.5062    2.5297    2.6181    2.6732    2.0764    2.6960    3.4741    3.0706       Inf
       Inf       Inf   24.1871   19.2150   16.7180   14.9223   13.6435   12.2358   10.8235    9.5182    8.3607    7.4170    6.7172    6.2608    5.9569    5.7179    5.3246    4.7143    4.0378    3.4597    3.0099    2.6220    2.2632    1.9167    1.5986    1.3264    1.2231    1.2035    1.2201    1.2503    1.3514    1.3800    1.5597    1.7596    1.5822    2.0973    2.7099       Inf       Inf       Inf
       Inf       Inf   17.6779   15.4587   13.6635   12.1606   11.0171    9.8431    8.6931    7.5442    6.4965    5.5872    4.9452    4.4997    4.2095    3.9471    3.5707    3.0043    2.3809    1.8339    1.4182    1.0981    0.7909    0.4588    0.1369   -0.1004   -0.1811   -0.1815   -0.1214   -0.0040    0.2107    0.4597    0.6861    0.9000    0.3606    1.4004    2.5161       Inf       Inf       Inf
       Inf       Inf   15.4018   12.9405   11.1880    9.7768    8.5886    7.5964    6.6131    5.6684    4.7328    3.9347    3.3271    2.9309    2.6137    2.3164    1.9347    1.4431    0.8989    0.4422    0.0433   -0.2637   -0.5133   -0.8167   -1.1142   -1.3309   -1.4444   -1.4352   -1.3513   -1.1725   -0.9145   -0.6286   -0.3280    0.1815   -0.2523    0.0333    0.2498       Inf       Inf       Inf
