# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 3.09819 -3708.86
400000 4.25688 -3708.81
600000 4.8958 -3708.69
800000 3.80108 -3708.61
1000000 2.92282 -3708.5
1200000 -37.4091 -3708.61
1400000 -38.6909 -3708.62
1600000 -37.8752 -3708.53
1800000 -39.056 -3708.54
2000000 -38.4834 -3708.53
2200000 -78.82 -3708.61
2400000 -79.561 -3708.64
2600000 -79.7572 -3708.66
2800000 -77.2888 -3708.7
3000000 -79.9663 -3708.66
3200000 -131.09 -3708.83
3400000 -132.011 -3708.81
3600000 -131.611 -3708.77
3800000 -129.869 -3708.77
4000000 -129.938 -3708.74
4200000 -194.605 -3708.98
4400000 -195.365 -3709
4600000 -191.437 -3709.01
4800000 -196.191 -3709.03
5000000 -192.606 -3709.06
5200000 -274.596 -3709.39
5400000 -273.345 -3709.42
5600000 -272.321 -3709.37
5800000 -275.049 -3709.41
6000000 -272.662 -3709.39
6200000 -369.09 -3709.75
6400000 -370.114 -3709.74
6600000 -369.425 -3709.76
6800000 -366.439 -3709.77
7000000 -369.379 -3709.76
7200000 -476.554 -3710.15
7400000 -479.772 -3710.11
7600000 -477.584 -3710.12
7800000 -477.279 -3710.13
8000000 -478.737 -3710.13
8200000 -590.427 -3710.57
8400000 -591.633 -3710.57
8600000 -587.794 -3710.56
8800000 -590.918 -3710.57
9000000 -594.602 -3710.55
9200000 -705.807 -3711.04
9400000 -703.527 -3711.05
9600000 -703.647 -3711.05
9800000 -703.436 -3711.08
10000000 -697.339 -3711.08
10200000 -804.207 -3711.66
10400000 -808.97 -3711.64
10600000 -804.939 -3711.66
10800000 -801.709 -3711.66
11000000 -807.185 -3711.64
