       Inf       Inf   38.4858   35.0844   31.9163   28.7427   26.3242   24.8847   25.6982   24.0540   22.1387   19.8582   17.5865   15.3072   13.1208   11.1341    9.5701    8.2958    7.2981    6.2352    4.8177    3.2957    1.9301    0.7894   -0.0457   -0.7915   -1.5541   -2.4945   -3.4542   -4.2782   -5.0679   -5.7182   -6.3214   -7.5168   -7.3635   -8.3632   -8.6327
       Inf       Inf   36.2563   34.4526   31.0923   28.1396   25.7890   23.8742   24.6920   23.0598   21.2968   19.1872   17.0346   14.8678   12.7554   10.8052    9.0832    7.8870    6.7931    5.5900    4.1580    2.6612    1.3564    0.3355   -0.4331   -1.0620   -1.6853   -2.4766   -3.3226   -4.0881   -4.7740   -5.4239   -5.8661   -7.6123   -7.7622   -7.2786   -7.3368
       Inf       Inf   36.0709   32.9667   30.2708   27.5439   25.2890   23.3970   23.7315   22.1816   20.4707   18.4550   16.4341   14.3703   12.3803   10.4701    8.7337    7.4263    6.1794    4.9406    3.5048    2.1041    0.8594   -0.1088   -0.8665   -1.4730   -2.0919   -2.7799   -3.5734   -4.2360   -4.7801   -5.2992   -5.6729   -5.7385   -5.7145   -5.8551       Inf
       Inf       Inf   34.1804   32.2084   29.4896   26.8356   24.6994   22.8969   21.3037   21.2294   19.4318   17.6500   15.7521   13.7718   11.8790    9.9944    8.2388    6.8432    5.5967    4.3502    2.9556    1.5976    0.4522   -0.5229   -1.2156   -1.9167   -2.6424   -3.4126   -4.3501   -5.0077   -5.5469   -5.9727   -6.1556   -5.8256   -5.6475       Inf       Inf
       Inf       Inf   34.1288   31.2185   28.6847   26.1124   24.0091   22.2362   21.7829   20.1890   18.4164   16.6289   14.9859   13.0927   11.2458    9.4230    7.6941    6.2992    5.0741    3.8534    2.4964    1.1945    0.0535   -0.8923   -1.6539   -2.4330   -3.3790   -4.2312   -5.0724   -5.9862   -6.5511   -7.0202   -6.9942   -6.2238       Inf   -6.5078       Inf
       Inf       Inf   33.4586   30.7477   27.8252   25.3742   23.2952   21.5277   19.8541   19.0121   17.3539   15.6880   14.0545   12.3589   10.5086    8.7816    7.1457    5.7579    4.5597    3.3809    2.0713    0.7871   -0.3392   -1.2795   -2.1030   -2.9828   -4.0531   -4.9612   -5.7883   -6.9512   -7.5289   -7.9196   -7.8657   -7.2551   -5.3078       Inf       Inf
       Inf       Inf   32.6846   29.8970   26.9183   24.5188   22.5172   20.7649   19.0614   17.8935   16.2603   14.7773   13.1949   11.5832    9.7219    8.0627    6.5190    5.2351    4.1294    2.9495    1.6894    0.3874   -0.7070   -1.6737   -2.5238   -3.4716   -4.5155   -5.4988   -6.3268   -7.0512   -8.4415   -8.1730   -8.8944   -8.8241   -7.5672       Inf       Inf
       Inf       Inf   32.2003   29.1354   26.2087   23.8755   21.8518   20.0730   18.2726   16.8969   15.2623   13.8310   12.3158   10.7150    8.9617    7.2360    5.9097    4.7199    3.7088    2.5241    1.2737   -0.0039   -1.1035   -2.0426   -2.8719   -3.8729   -4.8724   -5.8253   -6.6561   -7.3939   -8.0445   -8.5738   -9.8656   -9.6529   -8.6537       Inf       Inf
       Inf       Inf   31.5413   28.5644   25.5894   23.3066   21.2742   19.4389   17.5383   15.7814   14.1706   12.7654   11.2558    9.7907    8.0978    6.5078    5.2252    4.1796    3.2488    2.0765    0.7860   -0.4867   -1.5472   -2.4232   -3.2539   -4.1593   -5.0797   -5.9726   -6.7852   -7.6080   -8.3343   -8.8846   -9.2093  -10.6218   -9.3496       Inf       Inf
       Inf       Inf   32.1495   27.8957   25.0159   22.9267   20.8581   18.8540   16.8937   15.0763   13.3729   11.7919   10.1717    8.6205    7.0554    5.7438    4.5856    3.6175    2.6392    1.4274    0.1351   -1.0387   -2.0427   -2.8021   -3.6206   -4.4038   -5.1814   -5.8750   -6.7480   -7.5855   -8.3522   -9.0353   -9.3404   -9.4163  -10.7050       Inf       Inf
       Inf       Inf   32.4858   27.7722   24.8034   22.5192   20.5306   18.4058   16.3665   14.3868   12.6227   10.8307    9.0524    7.4169    5.9940    4.8135    3.7742    2.8552    1.7248    0.5144   -0.6719   -1.7567   -2.6340   -3.3598   -4.0516   -4.7230   -5.2691   -5.8543   -6.6195   -7.4216   -8.1965   -8.9827   -9.1574   -8.5010  -11.1672       Inf       Inf
       Inf       Inf       Inf   28.2079   24.3869   22.0842   20.2573   18.0203   15.9176   13.9261   11.8388    9.8354    7.9082    6.2088    4.8032    3.6669    2.7737    1.7897    0.6660   -0.5596   -1.6707   -2.6092   -3.3858   -4.0285   -4.6086   -5.2068   -5.6625   -5.9731   -6.5214   -7.1117   -7.8152   -7.9356   -8.8781   -8.3646       Inf       Inf       Inf
       Inf       Inf       Inf   26.4694   23.6171   21.4606   19.4580   17.6864   15.5969   13.4276   11.1433    8.8981    6.8609    5.1442    3.7480    2.6670    1.6928    0.6874   -0.4477   -1.6505   -2.6475   -3.4715   -4.1680   -4.7565   -5.3314   -5.8756   -6.2703   -6.5736   -6.8790   -7.1911   -7.4304   -6.9534   -7.7775       Inf       Inf       Inf       Inf
       Inf       Inf   24.9740   22.2015   21.7934   19.7527   17.7170   16.0537   14.2424   12.4304   10.2819    7.9971    5.9075    4.1641    2.7605    1.5860    0.5766   -0.4237   -1.5629   -2.6100   -3.5440   -4.2031   -4.8604   -5.4540   -6.0137   -6.5211   -6.9321   -7.2967   -7.5846   -7.6703   -7.6682   -7.3720   -7.4545   -8.6323       Inf       Inf       Inf
       Inf       Inf   23.0148   19.7821   19.0368   17.3113   15.2673   13.6333   11.9796   10.6050    8.9198    7.0000    4.9853    3.2290    1.8394    0.7374   -0.3507   -1.4671   -2.5345   -3.4371   -4.2586   -4.8478   -5.4880   -6.0796   -6.6512   -7.1183   -7.5155   -7.9603   -8.2112   -8.3227   -8.3194   -8.0802   -8.3244   -9.2755       Inf       Inf       Inf
       Inf       Inf   20.7994   17.9076   15.9582   15.0096   13.0225   11.3325    9.6800    8.2150    7.0838    5.5204    3.9723    2.3321    1.0767   -0.0207   -1.1355   -2.2586   -3.2734   -4.1377   -4.7993   -5.3731   -5.9846   -6.5618   -7.0962   -7.5479   -7.9554   -8.3671   -8.6513   -8.7132   -8.6827   -8.3551   -7.1867   -8.6323       Inf       Inf       Inf
       Inf   25.1253   18.7728   16.1796   14.1928   12.3327   10.3718    9.2542    7.5668    6.1781    4.9856    3.7927    2.5176    1.2806    0.1759   -0.8213   -1.8567   -2.8978   -3.8542   -4.6559   -5.2767   -5.7930   -6.2821   -6.8967   -7.3578   -7.7889   -8.1372   -8.4464   -8.8349   -8.8167   -8.8947   -8.3096   -7.7431       Inf       Inf       Inf       Inf
       Inf   23.4699   17.1031   14.6747   12.6287   10.7466    8.7183    6.7185    5.1927    4.2135    3.0575    1.9980    0.8918   -0.0631   -0.9129   -1.7360   -2.5493   -3.4154   -4.2495   -4.9907   -5.5872   -6.0843   -6.5287   -7.0040   -7.4753   -7.8202   -8.1048   -8.3682   -8.8933   -8.8796   -8.7142   -7.8941   -7.3900       Inf       Inf       Inf       Inf
       Inf   23.2185   15.7087   13.3470   11.3500    9.3503    7.2558    5.2150    3.4575    2.5521    0.8418    0.3242   -0.6346   -1.4502   -2.1439   -2.7472   -3.3219   -3.9278   -4.5806   -5.2117   -5.7433   -6.1964   -6.6115   -7.0475   -7.4722   -7.7927   -8.0333   -8.2602   -8.3850   -8.9227   -8.8057   -8.0461   -8.0703       Inf       Inf       Inf       Inf
       Inf       Inf   14.4851   12.3625   10.1782    8.0612    5.9557    3.9118    2.1247    0.6996   -0.4601   -1.3780   -1.9774   -2.7663   -3.2254   -3.6742   -4.0809   -4.4811   -4.9390   -5.4099   -5.8187   -6.1812   -6.5792   -6.9700   -7.3561   -7.6891   -8.0240   -8.2302   -8.4246   -9.0797   -9.0843   -9.4915  -10.0052   -9.7634       Inf       Inf       Inf
       Inf   18.8322   13.4866   11.2910    9.1797    6.9865    4.8250    2.7892    0.9979   -0.4344   -1.5594   -2.4562   -3.1507   -3.6648   -4.0566   -4.3536   -4.6693   -4.9649   -5.2618   -5.5906   -5.8853   -6.1816   -6.4794   -6.8005   -7.1750   -7.5417   -7.9008   -8.1800   -8.4542   -8.6053   -9.0608   -9.2312   -9.6352   -8.6203       Inf       Inf       Inf
       Inf   18.3071   12.2502   10.1870    8.1396    5.9558    3.7731    1.7900    0.0263   -1.3859   -2.4720   -3.2998   -3.8894   -4.2967   -4.5742   -4.7666   -4.9619   -5.2001   -5.4239   -5.6349   -5.8651   -6.0909   -6.2729   -6.5061   -6.7957   -7.1255   -7.4374   -7.6990   -8.1831   -8.7976   -8.5890   -8.3308   -8.5120       Inf       Inf       Inf       Inf
       Inf   15.2580   11.2077    9.1991    7.0661    4.9526    2.8862    0.9532   -0.7571   -2.1308   -3.1797   -3.9284   -4.4161   -4.7248   -4.8720   -4.9373   -5.0170   -5.1566   -5.3262   -5.4498   -5.6120   -5.8290   -5.9595   -6.0907   -6.2912   -6.5035   -6.8652   -7.1074   -7.4190   -7.9810   -7.6239   -7.5052   -7.8565       Inf       Inf       Inf       Inf
       Inf   14.7393   10.1659    8.1597    6.1883    4.1503    2.1884    0.3177   -1.3373   -2.6461   -3.6360   -4.3156   -4.7386   -4.9651   -5.0338   -4.9747   -4.8955   -4.8831   -4.9234   -5.0092   -5.1556   -5.3451   -5.5030   -5.6304   -5.7893   -6.0162   -6.3222   -6.6231   -6.7721   -6.6801   -6.6055   -5.9186       Inf       Inf       Inf       Inf       Inf
       Inf   13.9538    9.3848    7.4828    5.5394    3.6243    1.7613   -0.0451   -1.6404   -2.9011   -3.8285   -4.4433   -4.8173   -5.0099   -5.0233   -4.8717   -4.6593   -4.4640   -4.3618   -4.3068   -4.4541   -4.6624   -4.8381   -5.0040   -5.2817   -5.5159   -5.9308   -6.2220   -6.6249   -6.1439   -4.2584       Inf       Inf       Inf       Inf       Inf       Inf
   17.6392   13.4723    8.8250    7.0523    5.2675    3.4865    1.6743   -0.0827   -1.6309   -2.8339   -3.6987   -4.2571   -4.6164   -4.7751   -4.7423   -4.5398   -4.2201   -3.8611   -3.5607   -3.3955   -3.3306   -3.5322   -3.8025   -3.9837   -4.2865   -4.4159   -4.6320   -5.2393   -4.9920   -4.6985       Inf       Inf       Inf       Inf       Inf       Inf       Inf
   18.6823   14.0568    8.8652    7.1489    5.4812    3.7674    2.0014    0.2954   -1.1976   -2.3630   -3.1512   -3.6725   -3.9816   -4.1188   -4.0378   -3.7902   -3.3850   -2.8636   -2.3245   -1.9375   -1.7413   -1.6672   -1.9172   -2.0915   -2.3802   -2.5128   -2.2501   -1.6667   -2.8076   -1.5153       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf   14.7079    9.6238    8.0353    6.3744    4.7143    2.9843    1.3707   -0.0855   -1.1895   -1.9122   -2.3704   -2.6378   -2.7703   -2.6027   -2.2780   -1.7023   -1.0632   -0.1430    1.0399    1.9515    2.1989       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
