# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 0.432523 -941.995
400000 0.977888 -941.805
600000 -0.170766 -941.732
800000 -0.163325 -941.631
1000000 -0.160253 -941.549
1200000 -23.9313 -941.683
1400000 -25.1845 -941.567
1600000 -24.2372 -941.655
1800000 -25.2753 -941.65
2000000 -24.9475 -941.572
2200000 -51.7106 -941.836
2400000 -53.0002 -941.698
2600000 -52.0231 -941.648
2800000 -52.4392 -941.633
3000000 -50.7401 -941.554
3200000 -84.0072 -941.783
3400000 -84.7528 -941.609
3600000 -85.2007 -941.642
3800000 -84.1178 -941.631
4000000 -83.1956 -941.64
4200000 -125.184 -941.728
4400000 -124.702 -941.876
4600000 -124.851 -941.883
4800000 -123.944 -941.857
5000000 -123.803 -941.872
5200000 -169.977 -941.973
5400000 -170.817 -942.019
5600000 -172.444 -941.983
5800000 -171.407 -942.012
6000000 -172.643 -942.028
6200000 -220.924 -942.126
6400000 -222.715 -942.145
6600000 -224.32 -942.14
6800000 -224.198 -942.138
7000000 -225.317 -942.128
7200000 -280.18 -942.283
7400000 -281.642 -942.245
7600000 -280.258 -942.269
7800000 -279.164 -942.255
8000000 -280.336 -942.269
8200000 -338.304 -942.416
8400000 -340.623 -942.394
8600000 -341.611 -942.404
8800000 -340.478 -942.396
9000000 -338.823 -942.406
9200000 -400.544 -942.535
9400000 -398.261 -942.543
9600000 -399.436 -942.562
9800000 -397.637 -942.556
10000000 -400.245 -942.534
10200000 -455.714 -942.713
10400000 -457.189 -942.712
10600000 -457.92 -942.712
10800000 -452.951 -942.654
11000000 -457.311 -942.711
