# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 0.401118 -426.559
400000 0.607897 -426.798
600000 0.645936 -426.542
800000 0.619423 -426.426
1000000 -0.179621 -426.608
1200000 -15.9233 -426.443
1400000 -15.8418 -426.423
1600000 -15.6086 -426.637
1800000 -15.5885 -426.488
2000000 -15.4733 -426.798
2200000 -33.0903 -426.76
2400000 -33.1132 -426.428
2600000 -34.7747 -426.693
2800000 -34.6457 -426.397
3000000 -33.8182 -426.368
3200000 -55.3895 -426.505
3400000 -56.7263 -426.415
3600000 -55.8168 -426.486
3800000 -56.7551 -426.777
4000000 -57.1742 -426.763
4200000 -82.8691 -426.787
4400000 -83.3493 -427.185
4600000 -83.4729 -426.978
4800000 -86.3088 -427.172
5000000 -86.7321 -427.171
5200000 -115.536 -427.129
5400000 -116.661 -427.174
5600000 -118.913 -427.152
5800000 -119.159 -427.232
6000000 -118.046 -427.242
6200000 -151.664 -427.31
6400000 -152.103 -427.314
6600000 -151.767 -427.317
6800000 -150.504 -427.316
7000000 -151.246 -427.319
7200000 -184.906 -427.396
7400000 -186.665 -427.388
7600000 -186.165 -427.382
7800000 -186.392 -427.386
8000000 -186.383 -427.388
8200000 -224.15 -427.458
8400000 -225.052 -427.456
8600000 -223.5 -427.46
8800000 -223.6 -427.459
9000000 -223.971 -427.457
9200000 -261.241 -427.544
9400000 -261.979 -427.541
9600000 -261.193 -427.543
9800000 -260.859 -427.54
10000000 -259.638 -427.542
10200000 -299.916 -427.616
10400000 -296.435 -427.632
10600000 -298.445 -427.621
10800000 -300.011 -427.622
11000000 -297.365 -427.636
