       Inf       Inf       Inf       Inf   24.6212   22.3310   19.9828   17.8240   16.0941   14.3779   12.9664   11.6458   10.4125    9.1730    7.9341    6.8200    5.7985    4.8538    4.0275    3.3148    2.7135    2.1631    1.6638    1.1549    0.6385    0.1087   -0.4700   -1.0060   -1.5779   -2.2060   -2.8619   -3.4698   -4.0450   -4.4929   -4.8456   -5.1849   -5.4723   -6.4693   -6.7214   -8.4591   -8.4273
       Inf       Inf       Inf       Inf   22.7019   21.1575   18.7732   16.6046   14.6989   13.0329   11.6448   10.2970    9.0254    7.7829    6.5537    5.4107    4.4218    3.5150    2.7569    2.0947    1.5163    0.9408    0.4162   -0.1033   -0.6072   -1.1045   -1.6154   -2.1381   -2.6442   -3.2217   -3.8844   -4.5117   -5.0891   -5.6060   -5.9552   -6.3688   -6.5499   -7.0360   -8.9005   -9.0909   -9.9167
       Inf       Inf       Inf       Inf   20.9151   20.1203   17.5901   15.4375   13.4366   11.7780   10.2957    8.9864    7.7730    6.5718    5.3775    4.2476    3.2547    2.4261    1.7073    1.0890    0.4838   -0.1028   -0.6792   -1.2281   -1.7124   -2.1631   -2.6357   -3.1045   -3.5568   -4.0416   -4.6667   -5.2517   -5.8407   -6.3815   -6.7496   -7.0921   -7.4995   -7.6582   -9.1896   -9.8673   -8.2465
       Inf       Inf       Inf   20.8811   18.9074   18.8538   16.4133   14.2444   12.2360   10.4630    9.0070    7.7172    6.5777    5.4285    4.2983    3.2436    2.3110    1.5323    0.8958    0.2808   -0.3545   -1.0066   -1.6430   -2.1769   -2.6499   -3.0834   -3.4932   -3.8755   -4.2724   -4.7181   -5.2463   -5.7887   -6.3468   -6.8163   -7.1508   -7.3972   -7.7197   -8.1007   -8.9989   -9.7114   -9.0842
       Inf       Inf       Inf   17.8202   19.7947   17.8891   15.3599   13.0714   11.0443    9.2670    7.7244    6.5070    5.3722    4.3030    3.2620    2.2914    1.4666    0.7836    0.1985   -0.3505   -1.0392   -1.7486   -2.3941   -2.9657   -3.4636   -3.8544   -4.2212   -4.5751   -4.9236   -5.2849   -5.7024   -6.0955   -6.5013   -6.9277   -7.1692   -7.2771   -7.9267   -8.4412   -9.3120   -9.0404  -10.7458
       Inf       Inf       Inf       Inf   18.8443   16.4974   14.1885   11.9567    9.9405    8.1402    6.6460    5.3874    4.2610    3.2115    2.2183    1.3215    0.6109    0.0460   -0.4246   -0.9229   -1.5954   -2.3214   -3.0200   -3.6336   -4.1351   -4.5804   -4.9350   -5.2929   -5.6135   -5.9410   -6.1904   -6.4214   -6.6403   -6.8836   -6.8855   -7.1000   -7.1969   -8.0882   -9.0498   -8.5465   -9.7910
       Inf       Inf       Inf       Inf   18.4114   15.7002   13.1743   10.8993    8.9325    7.1626    5.6662    4.4201    3.2651    2.2239    1.2511    0.4150   -0.2259   -0.7115   -1.1045   -1.5405   -2.1797   -2.9210   -3.6378   -4.2790   -4.8361   -5.3014   -5.7038   -6.0636   -6.3989   -6.6889   -6.8658   -6.9780   -7.1231   -7.1424   -6.9758   -6.8599   -6.8649   -7.9340  -10.5043       Inf       Inf
       Inf       Inf       Inf       Inf   17.8478   14.8276   12.2098    9.8966    7.9572    6.1938    4.7822    3.5542    2.4086    1.3702    0.4383   -0.3682   -0.9584   -1.4127   -1.7846   -2.2250   -2.8864   -3.6084   -4.3099   -4.9706   -5.5435   -6.0328   -6.4477   -6.7950   -7.1253   -7.3966   -7.5531   -7.6697   -7.7513   -7.7146   -7.5521   -7.4389   -8.1004   -8.6201  -10.2814  -10.1732       Inf
       Inf       Inf       Inf   16.6502   17.1855   14.0926   11.3014    8.8762    6.9902    5.3151    3.9645    2.7895    1.7257    0.6927   -0.2163   -0.9839   -1.5749   -2.0156   -2.4263   -2.9005   -3.5518   -4.2872   -4.9830   -5.6257   -6.1853   -6.6545   -7.0209   -7.3484   -7.6212   -7.8536   -7.9904   -8.0985   -8.1793   -8.1636   -8.1626   -8.2869   -8.6479   -9.3848  -10.8154  -11.1702       Inf
       Inf       Inf       Inf   16.8400   15.3525   12.7395   10.2400    8.0154    6.1133    4.5326    3.2603    2.1507    1.1405    0.1622   -0.7225   -1.4569   -2.0336   -2.5045   -2.9584   -3.4753   -4.1151   -4.7958   -5.4770   -6.1144   -6.6457   -7.0628   -7.3836   -7.6446   -7.8513   -8.0214   -8.1331   -8.2469   -8.3326   -8.3393   -8.2453   -8.3408   -8.5448  -10.0743  -10.8725  -11.0089       Inf
