       Inf       Inf   28.2905   25.7084   22.8121   19.9535   17.6365   15.8382   14.1054   12.6636   11.3029   10.2473    8.9600    7.7130    6.5194    5.0010    3.4675    2.4684    1.2997    0.0536   -1.0709   -2.0136   -2.7432   -3.5382   -4.3427   -5.2807   -6.3545   -7.4718   -8.4990   -9.4078  -10.3955  -11.6123  -12.4843  -13.4219  -13.8808  -15.1458  -14.4993       Inf       Inf
       Inf       Inf   27.5710   26.3919   23.3707   20.3673   18.0339   16.1592   14.3789   12.9239   11.3931    9.8382    8.9458    7.7025    6.5509    5.1171    3.8041    2.6288    1.5560    0.1372   -1.0847   -2.0827   -2.9662   -3.8716   -4.8084   -5.7285   -6.6753   -7.5523   -8.4804   -9.3061  -10.1544  -11.0519  -12.4239  -13.1152  -13.6014  -13.8801       Inf       Inf       Inf
       Inf       Inf       Inf   27.0619   23.6979   20.6734   18.3985   16.4724   14.6251   12.9816   11.3917    9.7198    8.4336    7.6426    6.4961    5.0112    3.7356    2.6773    1.5000    0.0623   -1.2498   -2.3443   -3.3410   -4.3471   -5.3494   -6.2374   -7.0478   -7.7873   -8.5938   -9.2578   -9.9187  -10.6809  -12.2216  -12.7240  -13.0034  -13.8088       Inf       Inf       Inf
       Inf       Inf       Inf   23.1351   22.7098   19.6964   17.5649   15.6822   13.8238   12.2379   10.8102    9.3947    8.1189    7.1395    5.9174    4.5170    3.3477    2.2864    1.0955   -0.3100   -1.5754   -2.7558   -3.8165   -4.8595   -5.9009   -6.7388   -7.4470   -8.1084   -8.9536   -9.4922   -9.7949  -10.2828  -10.6909  -12.6427  -12.5088  -13.0238       Inf       Inf       Inf
       Inf   27.2056   25.3913   22.2294   21.1615   18.8751   16.4049   14.2799   12.6367   11.1477    9.8332    8.6034    7.3986    6.0887    5.0090    3.7172    2.5380    1.4978    0.4172   -0.8313   -2.0539   -3.1949   -4.2518   -5.2800   -6.2394   -7.0095   -7.6636   -8.3200   -9.1264   -9.7125  -10.0230  -10.4015  -11.0780  -11.4658  -10.9075       Inf       Inf       Inf       Inf
       Inf       Inf   22.9398   23.0530   19.9348   17.7213   15.2622   13.2215   11.5485   10.1291    8.8579    7.7068    6.5130    5.2487    4.1172    2.8529    1.6992    0.6272   -0.3128   -1.3884   -2.4781   -3.6108   -4.6312   -5.5543   -6.3719   -7.0820   -7.6606   -8.2635   -8.9356   -9.5150   -9.8838  -10.2030  -10.7550   -9.5922       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   25.4637   21.8531   18.9380   16.3761   14.1001   12.3303   10.4856    9.2672    8.0534    6.8775    5.7841    4.6018    3.3181    2.0333    0.9260   -0.0844   -0.9617   -1.9157   -2.9443   -3.9685   -4.9378   -5.7636   -6.4839   -7.1474   -7.7043   -8.2813   -8.9053   -9.4106   -9.9593  -10.5076  -10.4214  -11.1487  -10.2597       Inf       Inf       Inf       Inf
       Inf       Inf   24.1013   20.9747   18.0179   15.5504   13.3727   11.4854    9.9019    8.5424    7.3833    6.3105    5.2666    4.1111    2.8551    1.5669    0.4112   -0.5749   -1.4947   -2.4058   -3.3518   -4.3131   -5.2418   -6.0097   -6.7562   -7.4109   -8.0306   -8.6932   -9.3534   -9.9275  -10.6103  -11.3704  -12.0596  -12.1486  -10.2097       Inf       Inf       Inf       Inf
       Inf   28.5818   23.5809   20.1362   17.2598   14.8289   12.6925   10.8381    9.2221    7.9428    6.8743    5.8781    4.9114    3.7878    2.5064    1.2297    0.0682   -0.9038   -1.8491   -2.7117   -3.6645   -4.5880   -5.5005   -6.2814   -7.0707   -7.8203   -8.5241   -9.2410   -9.9147  -10.6066  -11.3622  -11.9875  -12.4848  -12.9321  -12.8246  -12.8028  -14.7528       Inf       Inf
       Inf   26.2895   22.9274   19.4757   16.6746   14.2350   12.1076   10.2583    8.6417    7.4441    6.4240    5.6060    4.6931    3.5722    2.2331    0.9436   -0.1899   -1.1532   -2.0159   -2.8982   -3.7792   -4.7673   -5.6513   -6.5228   -7.3656   -8.1785   -8.9209   -9.6917  -10.4077  -11.1201  -11.8954  -12.3374  -13.2109  -13.9264  -14.1464  -15.2554  -16.1556       Inf       Inf
       Inf   25.0418   22.6665   19.1703   16.2332   13.7594   11.6594    9.7710    8.2603    7.0047    6.0437    5.2964    4.4636    3.3224    1.9384    0.6579   -0.4199   -1.2883   -2.1002   -2.9001   -3.7317   -4.7923   -5.6910   -6.6285   -7.5313   -8.4410   -9.2828  -10.1040  -10.7762  -11.4501  -12.1799  -12.9722  -13.6987  -14.3337  -14.8207  -16.0360  -16.6569       Inf       Inf
       Inf   25.7351   21.8116   18.5868   15.8997   13.3823   11.2582    9.4146    7.7948    6.6459    5.6984    4.9504    4.1558    3.0065    1.6596    0.4244   -0.5710   -1.3556   -2.0145   -2.6913   -3.5121   -4.6701   -5.4018   -6.6475   -7.6514   -8.6311   -9.5922  -10.4163  -11.1602  -11.8840  -12.5967  -13.4927  -14.3084  -14.7087  -15.1764  -15.2918  -15.9083       Inf       Inf
       Inf   24.9486   21.5877   18.3028   15.5453   13.0829   10.9519    9.1257    7.6197    6.3635    5.3775    4.6221    3.8729    2.7620    1.5180    0.3817   -0.6587   -1.2804   -1.8026   -2.3292   -3.1032   -4.0815   -5.2496   -6.4649   -7.6870   -8.7341   -9.7519  -10.6805  -11.7100  -12.4942  -13.2386  -14.0052  -14.6838  -15.3578  -15.5144  -16.1260  -17.9677  -18.0028       Inf
       Inf   24.8310   20.5120   17.7004   15.2761   12.8156   10.7042    8.8562    7.2347    6.0884    5.0826    4.2630    3.5119    2.5230    1.3549    0.2053   -0.4957   -1.0838   -1.6025   -2.0111   -2.7055   -3.8727   -5.1384   -6.5013   -7.7945   -8.9399  -10.0085  -11.1071  -12.2896  -13.1514  -13.8518  -14.4432  -15.0942  -15.4537  -16.0795  -15.7579  -17.6014       Inf       Inf
       Inf   23.1638   20.4765   17.8768   14.9718   12.5192   10.4483    8.5504    6.9091    5.7205    4.6843    3.7995    2.9382    2.0036    0.9831   -0.0668   -0.8196   -1.2209   -1.6870   -2.2404   -2.9509   -3.9428   -5.1952   -6.4809   -7.7971   -8.9922  -10.1405  -11.3195  -12.3919  -13.6808  -14.3977  -14.8836  -15.2878  -15.4147  -16.0284  -16.1220  -18.2514       Inf       Inf
