    0   -5.0340
    1   -9.2074
    2   -9.3323
    3   -9.3924
    4  -10.0198
    5  -10.4331
    6  -10.8726
    7  -12.1470
    8  -11.8591
    9  -14.9424
   10  -16.9711
   11  -17.8305
   12  -16.7957
   13  -15.8865
   14  -14.8187
   15  -14.5383
   16  -13.9569
   17  -12.6249
   18  -11.8311
   19  -12.2903
   20  -13.2362
   21  -15.2724
   22  -16.7149
   23  -17.2956
   24  -16.8954
   25  -18.8541
   26  -18.1081
   27  -18.5934
   28  -19.3942
   29  -17.5730
   30  -17.6816
   31  -17.1535
   32  -16.8109
   33  -15.9496
   34  -14.5422
   35  -12.3584
   36   -9.0237
   37   -8.4542
   38   -7.6293
   39   -6.5299
   40   -4.9772
   41   -3.3765
   42   -1.6615
