# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 2.25252 -5924.82
400000 5.53748 -5924.82
600000 5.04171 -5924.81
800000 2.25014 -5924.8
1000000 5.63437 -5924.8
1200000 -57.2504 -5924.87
1400000 -60.0333 -5924.88
1600000 -59.0618 -5924.87
1800000 -61.8984 -5924.88
2000000 -58.6424 -5924.87
2200000 -122.138 -5925.08
2400000 -124.318 -5925.07
2600000 -122.059 -5925.07
2800000 -124.552 -5925.08
3000000 -121.794 -5925.07
3200000 -195.827 -5925.4
3400000 -198.825 -5925.4
3600000 -196.86 -5925.4
3800000 -198.738 -5925.39
4000000 -195.462 -5925.41
4200000 -289.649 -5925.84
4400000 -284.844 -5925.84
4600000 -285.443 -5925.84
4800000 -286.782 -5925.83
5000000 -291.588 -5925.84
5200000 -403.373 -5926.33
5400000 -403.854 -5926.33
5600000 -403.72 -5926.31
5800000 -403.17 -5926.32
6000000 -402.525 -5926.34
6200000 -537.054 -5926.9
6400000 -531.639 -5926.93
6600000 -534.885 -5926.91
6800000 -533.052 -5926.93
7000000 -536.952 -5926.9
7200000 -692.808 -5927.51
7400000 -686.078 -5927.52
7600000 -686.826 -5927.52
7800000 -689.043 -5927.51
8000000 -688.045 -5927.52
8200000 -845.964 -5928.2
8400000 -852.312 -5928.18
8600000 -854.852 -5928.17
8800000 -854.121 -5928.18
9000000 -851.756 -5928.17
9200000 -1004.33 -5929.01
9400000 -1009.11 -5928.98
9600000 -1009.6 -5928.99
9800000 -1016.61 -5928.97
10000000 -1013.99 -5928.98
10200000 -1153.28 -5929.98
10400000 -1149.34 -5929.98
10600000 -1158.01 -5929.97
10800000 -1163.49 -5929.95
11000000 -1157.59 -5929.99
