       Inf       Inf   30.1847   25.8816   23.4474   20.8811   18.8434   17.1275   15.6999   14.4081   13.2331   12.1012   10.8742    9.6831    8.7965    8.0845    7.5971    7.3341    7.1382    6.8216    6.3603    5.8366    5.3926    5.0402    4.7526    4.5515    4.4512    4.3846    4.2724    4.2594    4.2310    4.3744    4.2272    4.5143    5.1481    5.1809    5.0080       Inf
       Inf       Inf       Inf   23.9227   21.8953   19.2747   17.3222   15.5465   14.0165   12.6708   11.4763   10.2916    9.1185    7.9898    7.1911    6.5467    6.1221    5.8852    5.6987    5.4554    5.0455    4.5488    4.2044    3.9708    3.7436    3.5301    3.3762    3.1938    2.9859    2.8409    2.7868    2.8242    2.6155    2.8557    2.6188    3.2839       Inf       Inf
       Inf       Inf       Inf   24.1849   20.2864   17.8835   15.7246   13.9964   12.3591   10.9662    9.7846    8.6401    7.4970    6.4532    5.7145    5.0778    4.7079    4.4847    4.2937    4.0762    3.7294    3.3716    3.0005    2.8066    2.6361    2.4038    2.1137    1.8310    1.5415    1.2628    1.1921    1.0754    1.1685    1.1059    0.6560    0.9989       Inf       Inf
       Inf       Inf       Inf   20.2352   18.1905   16.0556   14.0556   12.2794   10.7022    9.4226    8.1746    7.0471    5.9152    4.9344    4.2595    3.6949    3.2822    3.0741    2.8980    2.7167    2.4912    2.1872    1.9118    1.6600    1.4840    1.2159    0.8763    0.4638    0.1102   -0.2455   -0.4539   -0.6655   -0.6120   -0.7215   -0.7894   -0.8443       Inf       Inf
       Inf       Inf   19.4820   18.1731   15.7310   13.9681   12.2980   10.6798    9.2072    7.8711    6.6419    5.5416    4.4803    3.5916    2.8319    2.2200    1.9718    1.7229    1.5841    1.4357    1.2688    1.0249    0.8376    0.6331    0.3984    0.0359   -0.3213   -0.7768   -1.2074   -1.5687   -1.8400   -2.0315   -2.6226   -2.3118   -2.5993   -2.5471       Inf   -1.7498
       Inf       Inf   15.8468   15.4278   13.2034   11.4841   10.1413    8.7474    7.4430    6.2546    5.1328    4.0850    3.1524    2.3554    1.6440    1.0475    0.6157    0.4804    0.3596    0.2339    0.0819   -0.1017   -0.2610   -0.4850   -0.7402   -1.0643   -1.4329   -1.8835   -2.3531   -2.6587   -2.9709   -3.1166   -3.1622   -3.7373   -3.4629   -3.9634   -3.9921   -3.6929
       Inf   16.7226   15.0126   12.9472   10.8482    9.2147    7.9003    6.6666    5.5049    4.4589    3.5105    2.6432    1.8606    1.1499    0.5230   -0.0122   -0.4074   -0.6425   -0.7478   -0.8707   -1.0421   -1.2205   -1.3688   -1.5864   -1.8519   -2.1754   -2.5483   -2.9164   -3.3050   -3.5950   -3.8402   -4.0336   -3.9496   -4.3805   -4.0948   -4.3723   -4.9792       Inf
   16.6334   15.5362   13.1310   10.4578    8.7053    7.1096    5.7936    4.6318    3.5536    2.5929    1.8216    1.1911    0.5938    0.0091   -0.4870   -0.9595   -1.3130   -1.5485   -1.7222   -1.8891   -2.0794   -2.2768   -2.4462   -2.6573   -2.9217   -3.2288   -3.5929   -3.8744   -4.1170   -4.3906   -4.5469   -4.5865   -5.1276   -4.8043   -4.5660   -4.2755   -4.3498       Inf
   16.3943   14.0294   11.0517    8.6565    6.8305    5.2758    3.9883    2.8386    1.7670    0.9039    0.2518   -0.2273   -0.6555   -1.0761   -1.4538   -1.8034   -2.0966   -2.3477   -2.5776   -2.8176   -3.0610   -3.2538   -3.4377   -3.6372   -3.8800   -4.1485   -4.4623   -4.6677   -4.8956   -5.0635   -5.1039   -5.1410   -5.5276   -5.1613   -4.9452   -6.1592       Inf       Inf
   14.1925   11.8276    9.1943    7.0722    5.2319    3.7576    2.4655    1.3133    0.3000   -0.5200   -1.1097   -1.4746   -1.7920   -2.0788   -2.3320   -2.5565   -2.7835   -3.0313   -3.3169   -3.6300   -3.9097   -4.1211   -4.2856   -4.4550   -4.6097   -4.7822   -5.0303   -5.2398   -5.3636   -5.5137   -5.6022   -5.5555   -5.9190   -5.5788   -5.3950   -4.7732   -4.3874       Inf
