# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 2.80419 -7741.33
400000 3.03993 -7741.32
600000 4.76616 -7741.33
800000 4.21321 -7741.33
1000000 3.51441 -7741.33
1200000 -55.4379 -7741.39
1400000 -54.7947 -7741.39
1600000 -53.271 -7741.39
1800000 -55.0521 -7741.39
2000000 -54.4297 -7741.39
2200000 -111.49 -7741.58
2400000 -111.961 -7741.57
2600000 -111.748 -7741.58
2800000 -110.472 -7741.57
3000000 -111.939 -7741.57
3200000 -180.336 -7741.88
3400000 -179.707 -7741.88
3600000 -179.326 -7741.87
3800000 -178.828 -7741.87
4000000 -181.097 -7741.87
4200000 -267.643 -7742.27
4400000 -266.219 -7742.28
4600000 -268.251 -7742.28
4800000 -266.427 -7742.28
5000000 -267.083 -7742.29
5200000 -373.775 -7742.78
5400000 -372.382 -7742.77
5600000 -375.035 -7742.78
5800000 -371.462 -7742.78
6000000 -371.264 -7742.78
6200000 -505.416 -7743.33
6400000 -504.768 -7743.35
6600000 -507.624 -7743.34
6800000 -507.662 -7743.34
7000000 -501.846 -7743.35
7200000 -652.255 -7743.98
7400000 -650.495 -7743.96
7600000 -653.048 -7743.96
7800000 -658.07 -7743.95
8000000 -653.754 -7743.97
8200000 -815.194 -7744.67
8400000 -810.776 -7744.68
8600000 -812.086 -7744.69
8800000 -814.712 -7744.69
9000000 -810.83 -7744.69
9200000 -984.061 -7745.46
9400000 -982.942 -7745.47
9600000 -983.175 -7745.44
9800000 -969.825 -7745.46
10000000 -977.595 -7745.48
10200000 -1147.93 -7746.39
10400000 -1137.66 -7746.4
10600000 -1138.25 -7746.4
10800000 -1134.94 -7746.41
11000000 -1135.5 -7746.42
