   15.2766   14.6305   11.9751    9.6364    7.8188    6.3413    5.1560    4.1922    3.3592    2.6942    2.1266    1.6787    1.3541    0.9491   -0.6124   -0.8057   -1.4195   -1.9830   -2.4569   -2.8917   -3.2851   -3.6367   -3.9214   -4.1178   -4.3325   -4.4840   -4.5009   -4.8400   -5.7368   -5.9436   -6.0885
   15.7574   13.7556   12.0501   10.1535    8.4946    7.0751    5.8564    4.9081    4.1508    3.5543    3.0587    2.6634    2.3531    2.0348    0.8971    1.0599    0.6178    0.1295   -0.2838   -0.6542   -0.9355   -1.0876   -1.2044   -1.3304   -1.2204   -0.8093   -0.0227       Inf   -1.3857       Inf       Inf
   15.7445   13.7044   12.2413   10.6637    9.1425    7.7762    6.6595    5.8134    5.1949    4.6777    4.2969    3.9227    3.6252    3.4201    2.3656    2.4338    1.8937    1.3533    0.9684    0.7290    0.6758    0.8815    0.8811    0.3967    0.4254    1.3057       Inf       Inf       Inf       Inf       Inf
       Inf   18.4683   15.8014   14.0804   12.6657   11.6666   10.9429   10.0778    9.3065    8.8136    8.3155    7.5162    6.8934    6.6868    5.7576    5.8587    6.6292    6.6451    6.2204    5.2468    7.2442    6.4465       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf   17.5053   16.0266   14.9562   13.5482   12.5780   11.9503   11.3174   10.9031    9.7636    8.7394    8.0226    7.3060    6.6941    5.9647    6.6744    6.5170    6.9092    4.7045    1.5115    3.6504       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   16.8945   15.1300   15.3891   16.4814   17.6231       Inf   14.0549   11.2209    9.9031    9.2824    9.1245    9.3825    9.1296    6.9847    5.5627    4.6492       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
       Inf       Inf   19.5731   16.6582   16.8272   16.2772       Inf       Inf       Inf       Inf   13.1551   11.5063   13.1862       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
