# Time-averaged data for fix dU
# TimeStep c_1[1] c_1[2] c_2[1] c_2[2]
0 6.50131 1.70653e-05 -6.00654 25411.8
100 5.69266 6.68588e-05 -5.21502 6676.58
200 5.7968 5.60768e-05 -5.26799 7301.31
300 4.61235 0.000414409 -4.21843 1240.74
400 4.2626 0.000748038 -3.91704 745.855
500 4.5959 0.000426079 -4.20453 1211.95
600 4.31371 0.000686188 -3.96196 804.632
700 4.78693 0.000308598 -4.37517 1616.71
800 4.33205 0.000665256 -3.98045 830.141
900 4.12934 0.000936814 -3.80348 615.697
1000 3.96051 0.00124585 -3.65128 476.16
1100 3.89586 0.00138957 -3.59154 430.469
1200 4.09637 0.000990456 -3.77138 583.218
1300 4.30513 0.000696202 -3.95257 791.968
1400 4.56734 0.000447134 -4.1913 1185.19
1500 4.52466 0.000480547 -4.14133 1089.27
1600 4.2231 0.000799631 -3.88462 706.112
1700 4.37732 0.000616299 -4.02665 897.507
1800 4.81052 0.000296546 -4.41128 1718.37
1900 5.02972 0.000204803 -4.59347 2337.39
2000 4.37348 0.000620309 -4.02405 893.577
2100 4.23544 0.000783141 -3.90025 725.006
2200 4.5498 0.000460573 -4.18488 1172.41
2300 4.30738 0.000693557 -3.96182 804.438
2400 4.60782 0.000417587 -4.22172 1247.65
2500 4.13625 0.000925939 -3.80179 613.947
2600 4.15075 0.000903543 -3.81894 631.984
2700 4.37497 0.000618746 -4.01551 880.783
2800 4.01013 0.00114571 -3.6907 508.93
2900 3.81478 0.00159346 -3.51651 379.243
3000 4.0142 0.00113787 -3.69824 515.453
3100 4.05448 0.00106306 -3.73084 544.629
3200 4.00109 0.00116334 -3.68933 507.76
3300 4.04555 0.0010792 -3.72572 539.935
3400 4.01909 0.00112851 -3.70192 518.67
3500 3.99807 0.00116929 -3.67775 497.926
3600 4.41029 0.000582926 -4.05189 936.585
3700 4.52838 0.000477538 -4.16481 1133.34
3800 4.37703 0.000616603 -4.01829 884.921
3900 4.43892 0.00055541 -4.08259 986.416
4000 4.57072 0.000444588 -4.19463 1191.87
4100 4.61641 0.000411574 -4.23514 1276.26
4200 4.65987 0.000382453 -4.26819 1349.5
4300 4.59189 0.000428973 -4.21256 1228.52
4400 4.36401 0.000630305 -4.01404 878.596
4500 4.01412 0.00113803 -3.69194 509.999
4600 4.10027 0.000983954 -3.77094 582.782
4700 4.63977 0.000395653 -4.23184 1269.15
4800 4.65118 0.000388104 -4.25431 1318.25
4900 5.31987 0.000125473 -4.83349 3505.52
5000 4.52364 0.000481373 -4.15142 1108.01
5100 4.1746 0.000867877 -3.84601 661.543
5200 4.07355 0.00102937 -3.75276 565.161
5300 4.06979 0.00103592 -3.74288 555.814
5400 4.0393 0.00109065 -3.71978 534.545
5500 4.30915 0.000691483 -3.96838 813.392
5600 4.4671 0.000529605 -4.09973 1015.38
5700 4.45732 0.000538423 -4.0926 1003.24
5800 4.3406 0.000655727 -3.98194 832.236
5900 4.20139 0.000829499 -3.85692 673.846
6000 4.10245 0.00098034 -3.77031 582.163
6100 4.31142 0.000688849 -3.96252 805.385
6200 4.45756 0.000538205 -4.08824 995.869
6300 4.30702 0.000693984 -3.96097 803.286
6400 4.00993 0.0011461 -3.69283 510.765
6500 4.06544 0.00104356 -3.74781 560.454
6600 3.99126 0.00118282 -3.67312 494.043
6700 4.09486 0.000992981 -3.76112 573.195
6800 4.50972 0.000492821 -4.1339 1075.71
6900 4.3622 0.000632236 -4.00176 860.558
7000 4.07511 0.00102666 -3.75233 564.756
7100 4.1423 0.000916532 -3.81252 625.17
7200 4.49388 0.000506184 -4.1167 1044.9
7300 4.12115 0.00094986 -3.7924 604.285
7400 4.19969 0.000831877 -3.85585 672.626
7500 4.20447 0.000825198 -3.87109 690.163
7600 3.91551 0.00134422 -3.60279 438.725
