# Time-averaged data for fix 1
# TimeStep c_1 c_2
200000 1.89139 -1990.25
400000 -0.486931 -1989.57
600000 -0.0546079 -1989.25
800000 3.50855 -1989.24
1000000 0.0605187 -1989.9
1200000 -39.0033 -1989.04
1400000 -38.0334 -1989.12
1600000 -38.9889 -1988.66
1800000 -38.7501 -1989.17
2000000 -37.5864 -1989.22
2200000 -75.495 -1988.84
2400000 -78.4597 -1989.07
2600000 -78.9974 -1989.09
2800000 -78.2505 -1988.85
3000000 -78.0639 -1989.32
3200000 -123.894 -1988.8
3400000 -124.684 -1989.7
3600000 -126.675 -1989.18
3800000 -126.495 -1989.39
4000000 -124.398 -1989.32
4200000 -181.897 -1989.34
4400000 -184.298 -1989.28
4600000 -183.086 -1989.36
4800000 -185 -1989.14
5000000 -182.144 -1990.09
5200000 -251.55 -1989.61
5400000 -252.855 -1989.85
5600000 -250.048 -1989.7
5800000 -254.729 -1989.77
6000000 -252.149 -1989.71
6200000 -328.854 -1989.91
6400000 -329.999 -1990.1
6600000 -328.327 -1989.96
6800000 -324.235 -1989.94
7000000 -329.995 -1990.04
7200000 -413.376 -1990.21
7400000 -413.441 -1990.14
7600000 -411.542 -1990.24
7800000 -413.808 -1990.18
8000000 -416.305 -1990.17
8200000 -503.082 -1990.4
8400000 -502.792 -1990.42
8600000 -499.317 -1990.44
8800000 -501.67 -1990.44
9000000 -500.236 -1990.45
9200000 -583.059 -1990.69
9400000 -588.564 -1990.72
9600000 -587.215 -1990.72
9800000 -590.29 -1990.69
10000000 -589.116 -1990.68
10200000 -674.801 -1990.99
10400000 -672.068 -1991.02
10600000 -672.587 -1991
10800000 -671.601 -1990.99
11000000 -671.19 -1991
