# Time-averaged data for fix dU
# TimeStep c_1[1] c_1[2] c_2[1] c_2[2]
0 11.4938 3.72207e-09 -11.4232 2.38501e+08
100 7.22818 5.00086e-06 -7.19983 190618
200 6.62972 1.37386e-05 -6.60246 69512.7
300 6.5993 1.44628e-05 -6.57003 65808.5
400 6.99577 7.40436e-06 -6.95422 125904
500 7.55846 2.86305e-06 -7.49841 315597
600 7.44673 3.45756e-06 -7.38698 261464
700 6.793 1.04278e-05 -6.75452 89863.9
800 6.52069 1.6516e-05 -6.49553 58029
900 6.62185 1.39223e-05 -6.59616 68777.9
1000 6.58651 1.47784e-05 -6.56051 64759.1
1100 6.89282 8.8103e-06 -6.861 107565
1200 6.42421 1.94383e-05 -6.39448 48926.1
1300 6.48222 1.76244e-05 -6.45075 53803.3
1400 6.59163 1.46512e-05 -6.55272 63912.8
1500 6.91357 8.50699e-06 -6.86281 107896
1600 6.88415 8.9402e-06 -6.8401 103835
1700 6.51927 1.65554e-05 -6.49122 57608.5
1800 6.51298 1.67323e-05 -6.48409 56918.8
1900 6.87998 9.0034e-06 -6.8405 103905
2000 6.82776 9.83343e-06 -6.79099 95572.5
2100 6.61886 1.39929e-05 -6.59008 68075.5
2200 6.52884 1.62902e-05 -6.50159 58625.9
2300 6.50359 1.69998e-05 -6.47449 56003.3
2400 7.06392 6.59953e-06 -7.02338 141501
2500 7.46714 3.34041e-06 -7.4095 271600
2600 7.41477 3.64926e-06 -7.3569 248515
2700 6.79665 1.03639e-05 -6.76142 90916.9
2800 6.36392 2.15215e-05 -6.3396 44595.5
2900 6.54315 1.59012e-05 -6.51518 59987.5
3000 6.53588 1.60976e-05 -6.505 58964.6
3100 6.5129 1.67346e-05 -6.48343 56855.5
3200 6.39819 2.03113e-05 -6.37048 46982.6
3300 6.3938 2.04624e-05 -6.36682 46693.3
3400 6.70115 1.21775e-05 -6.66651 77453.2
3500 6.79582 1.03783e-05 -6.75166 89430.7
3600 6.92338 8.36719e-06 -6.87589 110305
3700 6.68569 1.24996e-05 -6.65349 75768.6
3800 6.51305 1.67304e-05 -6.48632 57133.9
3900 6.82599 9.86282e-06 -6.78842 95158.5
4000 7.13498 5.85326e-06 -7.08957 158234
4100 6.85922 9.32457e-06 -6.81985 100345
4200 6.69831 1.22359e-05 -6.66506 77264.3
4300 6.5657 1.5307e-05 -6.53718 62257.4
4400 6.64937 1.32902e-05 -6.62169 71807.7
4500 6.69072 1.23939e-05 -6.65749 76282.5
4600 7.02863 7.00477e-06 -6.98571 132781
4700 6.92383 8.36076e-06 -6.88354 111738
4800 6.66661 1.29089e-05 -6.63619 73587
4900 6.48696 1.7484e-05 -6.45648 54325.9
5000 6.58368 1.48492e-05 -6.54896 63508.6
5100 6.70497 1.20991e-05 -6.67118 78066.5
5200 6.66432 1.29589e-05 -6.63589 73550.1
5300 6.52196 1.64806e-05 -6.49339 57819.6
5400 6.70572 1.20838e-05 -6.67371 78400.1
5500 6.68403 1.25347e-05 -6.65146 75509.4
5600 6.71535 1.18889e-05 -6.68317 79663
5700 6.73379 1.15244e-05 -6.70495 82647.7
5800 6.68573 1.24988e-05 -6.65947 76537.3
5900 6.97142 7.71519e-06 -6.93432 121743
6000 7.43214 3.54381e-06 -7.37551 256447
6100 7.25487 4.78049e-06 -7.19838 190152
6200 6.81813 9.99456e-06 -6.78042 93881.6
6300 6.47198 1.79317e-05 -6.44491 53275.4
6400 6.56425 1.53446e-05 -6.53855 62402.3
6500 6.70659 1.2066e-05 -6.67632 78747.4
6600 6.7593 1.10384e-05 -6.72385 85328.6
6700 6.75788 1.10651e-05 -6.71972 84735.2
6800 6.58631 1.47835e-05 -6.55801 64485.9
6900 6.52613 1.63648e-05 -6.49893 58363.9
7000 6.77276 1.07904e-05 -6.73057 86301.2
7100 6.86073 9.30093e-06 -6.809 98522.7
7200 6.57783 1.49968e-05 -6.54039 62596.2
7300 6.52924 1.6279e-05 -6.50125 58592.2
7400 6.46737 1.80719e-05 -6.43888 52735.2
7500 6.44753 1.86877e-05 -6.4192 51011.5
7600 6.75054 1.12029e-05 -6.71888 84614.1
7700 6.48889 1.74269e-05 -6.45561 54246.6
