       Inf   24.6069   21.8004   21.5073   18.5188   16.1745   14.1269   12.2233   10.5459    9.2051    8.1928    7.3960    6.7556    6.1236    5.6014    5.1383    4.7977    4.5084    4.2146    3.9271    3.6696    3.4473    3.2398    3.1137    3.0608    3.1155    3.3553    3.7245    4.0045    4.1509    5.6418       Inf       Inf       Inf
       Inf   23.0590   20.1515   19.7187   16.9239   14.7039   12.7232   10.9007    9.2365    7.8925    6.8732    6.0525    5.3179    4.6847    4.2123    3.8543    3.5838    3.3424    3.0961    2.8159    2.5069    2.2891    2.1388    2.0451    2.0205    2.1144    2.3932    2.5371    2.6899    3.4713    3.6948       Inf       Inf       Inf
       Inf   21.7089   19.8206   17.7679   15.2951   13.2000   11.2912    9.4453    7.7909    6.4577    5.3442    4.4830    3.6620    3.0517    2.6385    2.4167    2.2198    2.0533    1.8983    1.6705    1.3920    1.1704    1.0216    0.9076    0.8575    0.8898    1.0434    1.3154    1.5803    2.0784    2.5201       Inf       Inf       Inf
       Inf   21.5522   18.1560   16.0044   13.6661   11.7756    9.8428    8.0203    6.3702    4.9703    3.7520    2.7050    1.9429    1.4147    1.1061    0.9303    0.7982    0.6942    0.6298    0.5112    0.3258    0.1049   -0.0701   -0.2713   -0.3763   -0.3980   -0.3368   -0.0887    0.2412    0.8201    1.7853       Inf       Inf       Inf
       Inf   20.1199   17.2298   14.7080   12.5091   10.5562    8.6054    6.7473    5.0125    3.4640    2.1412    1.0697    0.2682   -0.1360   -0.3951   -0.5373   -0.6226   -0.6329   -0.5503   -0.5686   -0.7116   -0.9242   -1.1293   -1.4074   -1.6371   -1.7022   -1.6386   -1.4370   -1.0653   -0.2655   -0.8490       Inf       Inf       Inf
       Inf   21.2548   15.6372   13.6946   11.5866    9.4682    7.5275    5.5259    3.6517    1.9846    0.6091   -0.4428   -1.1700   -1.5382   -1.7549   -1.8654   -1.9043   -1.8550   -1.7194   -1.6421   -1.7466   -1.9588   -2.1870   -2.4895   -2.7172   -2.7669   -2.7242   -2.5741   -2.1833   -1.7102   -0.6139       Inf       Inf       Inf
       Inf       Inf   14.7781   12.9783   10.4409    8.5405    6.3526    4.2173    2.2384    0.5065   -0.8353   -1.8292   -2.4848   -2.8502   -3.0109   -3.0628   -3.0413   -2.9277   -2.7955   -2.7025   -2.8048   -2.9986   -3.2151   -3.4619   -3.6214   -3.6229   -3.5804   -3.3115   -3.0378   -2.4907   -2.0514   -0.5294       Inf       Inf
       Inf       Inf   13.7912   12.1701    9.6306    7.2738    5.0459    2.8376    0.8369   -0.8669   -2.1564   -3.0878   -3.6668   -3.9713   -4.0954   -4.0878   -4.0087   -3.8582   -3.7208   -3.7175   -3.8384   -3.9657   -4.0980   -4.2290   -4.3134   -4.2660   -4.1583   -3.8140   -3.6276   -3.4223   -3.1586   -1.7725       Inf       Inf
       Inf       Inf   12.8189   11.2648    8.4607    5.9157    3.6597    1.4730   -0.4718   -2.0552   -3.2602   -4.1257   -4.6607   -4.9530   -5.0335   -4.9695   -4.8040   -4.6262   -4.5278   -4.5456   -4.6249   -4.7236   -4.7754   -4.7853   -4.7450   -4.7448   -4.4930   -4.1520   -3.8409   -3.5001   -3.5751       Inf       Inf       Inf
       Inf   12.6043   12.9087   10.0047    7.1099    4.5354    2.3006    0.2535   -1.5735   -3.0465   -4.1604   -4.9555   -5.4760   -5.7429   -5.7943   -5.6662   -5.4402   -5.2376   -5.1512   -5.1560   -5.2017   -5.2818   -5.2664   -5.1695   -5.0247   -5.0451   -4.7796   -4.3605   -3.9616   -3.3490   -2.0225       Inf       Inf       Inf
       Inf   10.5462   11.3482    8.6660    5.8501    3.3939    1.1658   -0.7721   -2.4514   -3.8227   -4.8708   -5.6217   -6.1090   -6.3357   -6.3427   -6.1631   -5.8901   -5.6592   -5.5332   -5.5117   -5.5508   -5.5752   -5.5262   -5.4018   -5.1787   -4.9637   -5.0137   -4.6071   -4.3175   -3.2321   -3.5657       Inf       Inf       Inf
       Inf   14.7208   10.2529    7.5079    4.8802    2.4208    0.3276   -1.5246   -3.1117   -4.3934   -5.3898   -6.1092   -6.5584   -6.7464   -6.6961   -6.4755   -6.1665   -5.8668   -5.6717   -5.6094   -5.6115   -5.5969   -5.5622   -5.4101   -5.1757   -4.9286   -4.5410   -4.7500   -4.0714   -2.7893       Inf       Inf       Inf       Inf
       Inf   12.7735    9.3675    6.5360    4.0861    1.8043   -0.2169   -1.9983   -3.5271   -4.7536   -5.7142   -6.3990   -6.8032   -6.9450   -6.8433   -6.5792   -6.2030   -5.8402   -5.5573   -5.3979   -5.3261   -5.3014   -5.2528   -5.0980   -4.8416   -4.6116   -4.2357   -4.4865   -3.9596   -3.5478   -2.2290       Inf       Inf       Inf
       Inf   12.2038    8.6552    5.9766    3.6491    1.4788   -0.4751   -2.1992   -3.6705   -4.8786   -5.7956   -6.4322   -6.7978   -6.8911   -6.7393   -6.4183   -5.9667   -5.5227   -5.1580   -4.8440   -4.6609   -4.5672   -4.4340   -4.2496   -4.0336   -3.7853   -3.8070   -3.4092   -3.2747   -2.7749   -1.8790       Inf       Inf       Inf
   13.8949   11.1239    8.3541    5.8384    3.5536    1.4833   -0.4245   -2.1075   -3.5445   -4.7049   -5.5719   -6.1580   -6.4637   -6.5173   -6.3208   -5.9343   -5.4045   -4.8646   -4.3892   -3.9688   -3.6018   -3.3708   -3.0929   -2.6953   -2.5017   -2.3883   -2.0171   -2.0247   -2.3698   -2.5249   -1.6290       Inf       Inf       Inf
   13.4571   10.4504    8.2859    6.0450    3.8685    1.8470   -0.0284   -1.6713   -3.0630   -4.1799   -4.9977   -5.5223   -5.7676   -5.7557   -5.5177   -5.0696   -4.4368   -3.8124   -3.1880   -2.6211   -2.1191   -1.7288   -1.0773   -0.4933    0.0816    0.6497    1.7155       Inf       Inf       Inf       Inf       Inf       Inf       Inf
   14.0949   11.3166    8.8320    6.8860    4.7143    2.7761    0.8783   -0.7478   -2.1108   -3.1861   -3.9352   -4.4279   -4.6094   -4.5102   -4.1967   -3.7124   -2.9562   -2.1931   -1.3354   -0.7229   -0.3135   -0.0535    0.8845    1.0804    4.0641    1.9047       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
   14.9612   11.6370   11.5462    8.5921    6.7137    4.4298    2.5652    0.9097   -0.3600   -1.4433   -2.1588   -2.5878   -2.6504   -2.6583   -2.2241   -1.5689   -0.4360    0.8179    2.6507       Inf    3.1347       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf       Inf
